"","GSM711904","GSM711905","GSM711906","GSM711907","GSM711908","GSM711909","GSM711910","GSM711911","GSM711912","GSM711913","GSM711914","GSM711915","GSM711916","GSM711917","GSM711918","GSM711919","GSM711920","GSM711921","GSM711922","GSM711923","GSM711924","GSM711925","GSM711926","GSM711927","GSM711928","GSM711929","GSM711930","GSM711931","GSM711932","GSM711933","GSM711934","GSM711935","GSM711936","GSM711937","GSM711938","GSM711939","GSM711940","GSM711941","GSM711942","GSM711943","GSM711944","GSM711945","GSM711946","GSM711947","GSM711948","GSM711949","GSM711950","GSM711951","GSM711952","GSM711953","GSM711954","GSM711955","GSM711956","GSM711957","GSM711958","GSM711959","GSM711960","GSM711961","GSM711962","GSM711963","GSM711964","GSM711965","GSM711966","GSM711967","GSM711968","GSM711969","GSM711970","GSM711971","GSM711972","GSM711973","GSM711974","GSM711975","GSM711976","GSM711977","GSM711978","GSM711979","GSM711980","GSM711981","GSM711982","GSM711983","GSM711984","GSM711985","GSM711986","GSM711987","GSM711988","GSM711989","GSM711990","GSM711991","GSM711992","GSM711993"
"TSPAN1",3.03534941968526,2.00132666926329,3.11037493722836,2.15186206311183,3.16465757525366,2.04104668383837,2.35041238017385,2.24738374274284,3.02855147200215,2.20720569038,3.20076798435609,2.24357464471254,3.04539404132057,2.09412119025708,3.07015229423495,2.33859270750303,2.95841026582492,1.94700402944672,2.99196530035057,2.401944417906,3.04282291239276,2.01760483646926,3.00066709220323,2.23086087004467,3.20068795863657,2.10177780206088,2.56134080164028,2.10874857981542,2.86334777578288,2.89231913224801,3.13709196908195,2.04459345980999,2.643604561817,2.56597485906734,1.98208638747537,1.96909706105727,2.77041467410808,2.34179508262281,2.99999639325789,2.34811908446244,2.70024660603475,2.38072944850355,2.280029841819,1.84644116337638,2.91466784278123,1.89530262133331,3.04432591761719,2.48303151176868,3.17680305906548,2.0619524202298,3.01366592002489,2.90079340372134,3.13385939912268,2.69762482824965,2.84083581902825,1.92667125426515,2.77403218112129,1.95340307546824,3.02260927777481,2.02253826292691,3.10561438874298,2.57819242342087,3.05319824318173,2.84016912574166,3.19726309454846,2.21612267333772,3.09741696359447,2.59481126810237,3.03929985438958,2.85910486443274,2.98362115307649,2.34910196738405,3.09903256616651,2.24579074318276,2.83283129275049,2.56515357641663,3.08781244027525,2.9854858575541,3.10035705451067,2.55389864863466,2.35880133005796,2.06507938126067,3.21783869181334,1.98797929775486,3.00991861858113,2.45271402916487,2.73018343780679,1.99461230667183,2.74012668008348,2.21635863052847
"H2AC18",2.64256757631954,2.18807487286668,2.69992691539237,2.43764588938963,2.72678763042118,2.3949174255829,2.41488781190318,2.47416084710257,2.99918825571501,2.39142129960442,2.73361899121803,2.49804913146236,2.62659799963098,2.35199856578164,2.79765426373011,2.30594426340395,2.63840984749578,2.43774441676219,2.66506526210837,2.56002523030433,2.65625609205347,2.26558091831508,2.51883975969953,2.35044915644792,2.6340146805163,2.39198212897171,2.53151371449684,2.34656266429667,2.50638867524362,2.64992350766414,2.60968405471037,2.37459716884443,2.51376359380366,2.33414203990638,2.38476821163377,2.28738068314392,2.65427513063682,2.39026321206386,2.88465652623333,2.48154178166339,2.65240618361496,2.49034934527268,2.3386212297472,2.36669149691012,2.57386164464251,2.40058711153089,2.5193959671096,2.39549060761453,2.90809041882526,2.17458219033662,2.73163292731528,2.52913878398551,2.74312284294563,2.74542451531583,2.85727439903025,2.41615605588575,2.6390955291591,2.05457067503243,2.69696863867341,2.51189810171617,2.75894058554409,2.47184816487269,2.91352517916626,2.86760591943546,2.72518490833823,2.48534438509811,2.79230773214262,2.43293001874446,2.86398601101498,2.59979385212224,2.62184323608042,2.40539338080559,2.57322423788485,2.43755268162751,2.69775603035746,2.56745539807822,2.62422725654293,2.40631352772605,2.87945484097669,2.47681196908601,2.47443863919242,2.39066218327976,2.77936479265973,2.32962880996517,2.70172647201888,2.33905184710475,2.6673698908951,2.57486444475764,2.67817559509239,2.50353192290705
"EFNA1",2.6115454018918,2.02533360694126,2.34200851146781,2.35888851734327,2.71769067860492,2.17296108211182,2.28588747465294,2.09242396144147,2.58717533968918,2.23072870796965,2.76014641417019,2.27366209130527,2.60135897667525,2.40077016293377,2.74489517595676,2.30901607321202,2.59329161542257,2.26432323866517,2.60522169894172,2.42054707737639,2.59643428527711,2.3270865951556,2.55213356808978,2.0686501760235,2.44508306696494,2.25464543737272,2.44536916303154,2.50378631174131,2.14163878208752,2.18231409660473,2.6420314697769,2.3474587323503,2.47102353802228,2.29035067472048,2.14866082862694,2.13566619696904,2.39852549720232,2.32409339710359,2.53718422593098,2.54500460365815,2.19819552572144,2.46585173228476,2.38466047371107,2.48975357018227,2.43972152999264,2.29293189946932,2.52055048238644,2.4041974019529,2.70857352191764,2.19678957249613,2.51649176295646,2.40848905476079,2.66786488289515,2.57576491736194,2.67604394476342,2.3216250971129,2.614764017769,2.23525527349873,2.52582834245445,2.27666638448543,2.46442256975355,2.186757253388,2.59035051087114,2.60294852707317,2.53368045342174,2.38570436404481,2.38751419232091,2.44280021419194,2.50949823364526,2.2576231808056,2.48150045006214,2.32029115038794,2.60949258715312,2.2351939912246,2.50252410236947,2.48204025083833,2.54725979350476,2.376262596185,2.56722903245641,2.3031290141661,2.35333458423056,2.45710306683403,2.74888625018181,2.31041865227734,2.5508489630456,2.32717859515027,2.38006723027024,2.34701643919823,2.65183469697957,2.61483232078097
"NUF2",1.64228568305958,1.46996930643338,2.2878564110324,1.53938217885408,2.31390754000211,1.70432753201853,1.45735789427428,2.00722062274092,2.25470589895771,1.51878689625372,2.31737643287129,1.45411270807776,1.8802701887011,1.37645153826572,2.39753739393193,1.55126006266971,2.42154917345673,1.47739756783114,1.98925165673908,1.94997187737903,2.10859470804362,1.36949440200741,1.8991485555206,1.66087386805785,1.88695197800965,1.53837426813694,1.75278711984034,1.83522882679466,2.28913802710807,1.96649322391394,2.10399439853523,1.53276079721994,1.42146299900072,1.60795756475449,1.50431529687706,1.539436774599,2.10598642770907,1.71524763649584,2.25769860156471,1.6965592031416,2.08366951120004,1.55304587794863,1.54165360111823,1.47938061852482,1.94007652047955,1.52895132020071,1.83194613228753,1.62140722286775,2.21920879917082,1.47262293655804,1.98594847054979,1.84967506687635,1.7694078465176,2.32084566764572,2.20341417699035,1.61450726373206,1.77528236574103,1.5014951957979,2.35868882254873,1.66680203038313,2.01615040245519,1.72632553136414,2.15651635078668,2.62290458827871,2.1555679131103,1.66335828334281,2.06551027368373,1.63907931747609,2.24311151294904,1.91696956064696,2.10885895597765,1.72328332011569,2.00639138757765,1.51191833679057,1.86333984561913,2.05923412491337,1.8375154143377,1.64878753993286,2.07989689306754,1.58890528356591,1.64881514489326,1.59451510921152,2.06589279830342,1.46987035133381,1.93285866747953,1.56700993512854,1.72132453238008,1.44915987317298,1.85698967237171,1.72424425200648
"CTSE",3.21990265573634,1.94668595064628,2.72341220951054,2.14027149696545,2.8854435592973,1.67140208010012,2.34753810394967,2.15874095108297,3.1417826314861,1.90274893059778,3.25754323049593,1.95403993238503,2.88916978528377,2.36441554818882,3.18056322876964,2.56829726380793,3.11618174640549,2.14092259096483,3.11882150052483,2.43526854204647,2.66499702172146,1.88334710833732,2.90004176102272,2.0310493032632,3.20543005009998,2.43682545433929,1.88052880853057,2.37632650583462,3.0310175334203,3.00022720657689,3.08194971207763,1.74969729908641,2.73524920916938,2.7052215322504,2.31141301687276,2.19808234530556,2.91816103431146,2.53357829834473,3.11031312570989,2.62448228669556,2.97302709994571,2.33724867065497,2.60581905777273,2.03278146533821,3.1632169283869,2.12697615912725,3.22237026549248,2.63151875021318,3.26143001863812,2.1270719390531,3.01242743622029,3.00383427245871,3.22461915061804,3.00666964731305,2.91474628396535,2.37031217013046,2.9629783435783,1.96285992305417,2.69441890226702,1.6674380191387,3.32403289351767,2.65132039502147,2.86498838198105,2.38890588403907,3.2105836837023,2.39981913540752,3.10273034828354,2.4622696230986,3.08841640206435,2.81220452228541,3.16776415042394,2.30246528733241,3.19788425820998,1.95771776966708,3.01148132631603,2.74575794243525,3.24074325742374,3.11925656289593,2.55827498222908,2.76171291160306,2.73768243548121,2.19496324845023,3.27564181288448,2.29595512991739,3.06433966982771,2.370741801051,2.82127142209773,2.44401765493165,2.83590386829998,2.62120089111767
"DTL",1.62319731848183,1.31188669812352,2.15016645610046,1.44484725996524,2.3110612878558,1.66078261542239,1.55670407157252,1.81699283600139,2.11045010983057,1.43881979153158,2.03757550558912,1.37210517119776,1.8288955642288,1.52973100948912,2.36803634134234,1.84983116869857,2.29591693792836,1.45174654086203,2.04110978266341,1.87460420030939,1.88477763619255,1.53579916259337,1.80805548952485,1.57445032920069,1.75086800980389,1.40508290299871,1.59422844593576,1.70510206924028,2.24455830634349,1.9455777403564,1.87957246764777,1.57346178358784,1.54237692789383,1.46895860348638,1.45219477687017,1.42524981410355,1.94362507025523,1.68274407356836,2.22687532230149,1.54810118993363,2.17201699475555,1.57603349793109,1.56205921321811,1.43549525193444,1.76346256720796,1.59919399277249,1.76891686901871,1.69125721235468,2.16664475439069,1.50150538658921,1.61865683556461,1.89723267954036,1.88374983202448,2.16313801343092,2.17779344406011,1.51622195209903,1.6491141647795,1.35227264928752,2.1935162928079,1.71906951017905,2.08118621363173,1.67492610776172,2.12220886170023,2.39278450555411,1.92661812611044,1.52273373686965,1.93566717923802,1.57141469858513,2.04465290689342,1.79766463818128,2.06613742303794,1.55670407157252,1.81425508678682,1.50677456377503,1.6749215894913,1.79624056598487,1.76002076529666,1.72326584270102,1.90303827011291,1.75255165223329,1.55311470811523,1.48178458091029,1.90261774423262,1.55368488891753,1.78048648765366,1.33007072684689,1.76809114219808,1.42675854160762,1.73150477029782,1.55422045697651
"CENPF",2.01943861191353,1.40901069345745,2.60487312536604,1.43378204319963,2.60683778978011,1.68401078162731,1.69127508186655,1.96691768222703,2.53663483568452,1.34420925482985,2.43804262077651,1.65572733844785,2.23073485531138,1.54839223339645,2.52088484256766,1.62989279495333,2.58335540545984,1.5594477607755,2.31775556356976,2.18428029441938,2.35060190939841,1.28012489197573,2.09943323856653,1.72286380371532,2.17874331953285,1.30672886705977,1.91935152478956,1.93431645413403,2.46154427501953,2.26959275569292,2.21690490958672,1.59802211947647,1.45866547533046,1.61511021003753,1.4480340167772,1.4772369405065,2.29842371193104,2.05977058109025,2.52009532633723,1.82535824969967,2.30887923421115,1.59454377240655,1.78336864413518,1.35439009571132,2.14716665612177,1.47585273205043,1.97387205741743,1.70534983335488,2.33582908166495,1.48620979197836,2.09726356421428,2.07877376800043,2.09895848008817,2.4704978200435,2.49289658887458,1.56390003654894,1.91989683812058,1.29124991296423,2.49786780029341,1.71182966116285,2.33790800442206,1.87517062174324,2.43665758058627,2.75165652466677,2.41756090915648,1.56570439920374,2.29034772547632,1.87682141517552,2.4596519406921,2.10489014591256,2.36696839689003,1.70789138145543,2.21416522512182,1.56369995470119,2.13910599225897,2.1811311816833,2.00797047264657,1.7452459387859,2.38372364346338,1.87297449883968,1.7071625256,1.63512285636845,2.35359430039164,1.5388658987687,2.03574706136806,1.49332453583566,1.93935823880356,1.56029920278373,2.08517988043948,1.99943363103927
"CAPN9",2.3657821080322,1.68296425517518,1.48520525341769,1.73436062192037,1.69130188571936,1.59367884872861,1.74410510930341,1.58349020077877,2.4165965705707,1.49618620927309,2.17576729196118,1.58870863995405,1.73193481156291,1.650415329517,2.17139900312265,1.61200800386289,1.83242827786991,1.50405591494071,1.90112755607187,1.57877934383484,1.41418966686716,1.70969206381079,2.01147417000189,1.59828897107485,2.38271151500114,1.59123897829947,1.63645061667898,1.46468917547571,1.81390224428213,1.73961915388355,1.84064853148944,1.69711992240327,1.7477096335909,1.80168016749087,1.66103354628267,1.52147795265951,1.76362828115985,1.50427461259822,1.9671132601139,1.58369237014572,1.82358225883278,1.5526475817953,1.63339400903691,1.64249364243255,2.46536331129223,1.63985727284372,2.34678673349244,1.74062539358993,1.61700220148244,1.54467331507045,1.85799293462333,1.76154485000069,2.03895936224641,2.14240690243406,1.57492982055976,1.88014086139906,2.06465525745602,1.56334852429112,1.79896707647763,1.71838135516641,2.48237849192221,1.58675513736367,1.70605307463802,1.5932246756732,2.39116005464394,1.66859116917755,2.09754337939512,1.72652172357233,1.92781682841494,1.96758917853846,2.06682628389411,1.72558848228392,1.99400035769387,1.46258112277524,1.88197778913563,1.4758216109796,2.62522840041272,2.32699746456576,1.53226209348241,1.45498126083676,1.82706293560316,1.7225534578847,2.60757177849597,1.70015115027517,2.27361136997852,1.57876485484742,1.77327057667073,1.54663521438588,1.72578913649356,1.48926032880775
"KCNK1",2.66669070352012,2.30160227832454,2.50835258576167,2.26212943204191,2.60634746672457,1.92484860021531,2.08820266921401,2.03307054443171,2.66980914733422,2.18866994093853,2.59564448587192,2.14904144875451,2.52275131009216,2.24411071687049,2.69328399018114,2.46534241258776,2.64264843717031,2.04498506609862,2.64516902182943,2.21867269039458,2.57889042123776,2.04503051351562,2.47263333334856,2.18462624580741,2.56804670194911,2.10571159737133,2.24376351103996,2.35078010073486,2.53546077629659,2.30955747899761,2.53828486274703,2.10657278083464,2.32839129656711,2.2658869179007,2.21502620809438,2.1927812258625,2.28737477249414,2.08784977108715,2.79974424603217,2.27297869537357,2.22811987215654,2.24348629552317,2.19593967477704,2.18368023705507,2.5387616274819,2.06095699804412,2.47618983396119,2.32481636267063,2.76508489484032,2.29234298545101,2.415112337143,2.4057010691967,2.64047054306897,2.61023940324543,2.50680248591407,2.26178051978137,2.4341691607625,2.29837092085554,2.49147602275256,2.16427783482077,2.72830584764466,2.26218958080048,2.388790190551,2.46115919483583,2.74192210511685,2.2311097936328,2.406645507672,2.3102586758513,2.57358781236538,2.47357393281023,2.48893911746549,2.315919760312,2.67335515625462,2.33533461109655,2.42468833655887,2.30769372354086,2.60153251052357,2.44161361372986,2.36129393227285,2.24186763416053,2.22009154995039,2.16843023648802,2.65685099426345,2.16104277333868,2.46312804770204,2.15615388166971,2.19874872442013,2.18292743129001,2.38364347338919,2.27099531347169
"EXO1",1.54633393728192,1.60575506687028,2.01331217598357,1.6504291164987,2.21266893895377,1.58932725742296,1.52406869209339,1.74946990809063,2.00635907006541,1.30782484756977,1.99885982048747,1.4727113068893,1.75496016941689,1.36983496246414,2.38494499489434,1.50259538554219,2.21207123516768,1.41842205607137,1.88243959056271,1.79680122863666,1.97604829816345,1.42294340688617,1.79392916712621,1.54296622061936,1.75178932986898,1.5646561928893,1.56594805900173,1.67521524763967,2.13317551090809,1.87704923352416,1.77096009809107,1.66131636147715,1.55755713389812,1.5365801338011,1.41107908936531,1.46410885287314,1.913860224586,1.56790072352414,2.05342417616174,1.64684466483029,1.82908641382574,1.38014205676696,1.49934843022079,1.47368302344259,1.69479997895311,1.49583328638812,1.6281950016357,1.39911092329323,2.2361895057794,1.45677987039294,1.81691913238599,1.73030519009493,1.73221274983266,2.10045966422036,2.03994902392021,1.59574711265109,1.53200768818226,1.46223558964674,2.17564595162873,1.66383188788061,1.85204679293726,1.60360142212137,1.90167207787049,2.32552169695793,1.95454623783957,1.49539329059234,2.00882389437161,1.46689853780897,1.99419954117991,1.77033009378427,1.93249588029309,1.55776787044424,1.77867958359812,1.47148923698268,1.66253821559144,1.72335322765717,1.6942561897441,1.535067551348,1.9312178405398,1.40845644607896,1.6023903643529,1.56165362344194,1.79235979623798,1.50437632114421,1.61470984411521,1.35263424681832,1.67396791780407,1.44778018130757,1.74127713142186,1.66739714257861
