"","rownames.downRegulated_DEGs.","expres"
"1","TSPAN1",2.60756114734496
"2","H2AC18",2.55041047527469
"3","EFNA1",2.42447532342743
"4","NUF2",1.83095353178103
"5","CTSE",2.65414336340643
"6","DTL",1.75977303062504
"7","CENPF",1.96713729604367
"8","CAPN9",1.80374724573659
"9","KCNK1",2.36811485498145
"10","EXO1",1.70951029515894
"11","GALE",2.16828438330411
"12","AL139260.3",1.31928230161208
"13","STIL",1.8405987216234
"14","FRRS1",2.42165995951003
"15","EPS8L3",2.13434040165514
"16","H2AC18",2.55041047527469
"17","H2BC21",2.54894961736349
"18","H2AC21",2.67051935909141
"19","MTMR11",2.27134999377812
"20","GAS5",1.15384668388239
"21","ASPM",1.87780382941921
"22","UBE2T",1.8659213392659
"23","CDK1",1.60028713564877
"24","CEP55",1.94389137049486
"25","CYP2C18",1.91487012637378
"26","AL583836.1",1.72795976151663
"27","MKI67",2.12979990146624
"28","MUC5B",2.21055681349871
"29","FOLH1",1.61709602186827
"30","TMPRSS4",2.18435258578818
"31","TMEM45B",2.25733954942287
"32","FOLH1",1.62656445605361
"33","PARPBP",1.49614288258485
"34","LMO7",2.63142121070519
"35","SKA3",1.57239383115645
"36","DIAPH3",1.67969654148415
"37","CDKN3",1.69141247948335
"38","AKAP5",1.45056449358684
"39","GSKIP",2.07718731914587
"40","POLE2",1.61543470842322
"41","DLGAP5",1.84388461967381
"42","GPX2",2.36428173609232
"43","ARHGAP11A",1.97500530492148
"44","BUB1B",1.92960923196232
"45","AC087721.2",1.99280321940441
"46","CKMT1B",2.32660839886027
"47","CKMT1B",2.37202885872245
"48","CCNB2",1.89177137566633
"49","CHRNA5",2.1400214285389
"50","ABHD17C",2.49323997089378
"51","FANCI",2.09370213965216
"52","AC087632.2",1.94703094100373
"53","SEMA7A",2.23480813336458
"54","PRC1",2.28875266880965
"55","Z69890.1",1.70241610042039
"56","ANKS4B",1.8317006588827
"57","CENPN",2.03537432806973
"58","BCO1",1.63546341796204
"59","PLA2G10",2.03022666752314
"60","ERN2",2.09311429541016
"61","GINS2",1.73195663851921
"62","RAPGEFL1",2.16337164538264
"63","CDC6",1.84296634719102
"64","RNU6-928P",1.33335888865632
"65","SPAG5",1.77836556040234
"66","TOP2A",2.23922147008601
"67","KRT19",2.67503755623059
"68","BRIP1",1.75773927399255
"69","DHFRP1",2.26004827934363
"70","MISP",2.32151267159839
"71","CYP4F3",1.93655070695034
"72","AC020907.6",2.79896091236482
"73","CEACAM6",2.71040129988995
"74","FUT2",2.0595765798818
"75","RHPN2",2.53029803058656
"76","DHFRP1",1.84047864004496
"77","IGKV1-13",2.12302613084773
"78","GALNT5",2.34014857460357
"79","SGPP2",2.50877667442356
"80","MATN3",2.19446851441715
"81","IGKV2-40",1.1282925495998
"82","CST1",2.61394428417891
"83","FER1L4",2.11201262650935
"84","BCAS1",2.1923259825669
"85","TFF1",2.61945831218504
"86","KDELR3",2.36204122360658
"87","ECT2",2.29959795486466
"88","B4GALT4",2.41969859841456
"89","MUC13",2.55416179112724
"90","NCAPG",2.05679926570117
"91","SHROOM3",2.19966357829133
"92","AC013477.2",1.43603655511218
"93","MSMO1",2.45306627843853
"94","NEIL3",1.71612190180418
"95","CORIN",1.97081980991227
"96","ELOVL6",1.98280602219806
"97","CCNA2",2.09795202705672
"98","CENPU",1.74627994333141
"99","CCNB1",2.22623351521387
"100","XRCC4",2.16729845399311
"101","KIF20A",1.67937883709806
"102","HMMR",1.61538653918306
"103","ESM1",1.81998607467488
"104","CENPK",1.90786612411367
"105","STARD4",2.45893197531746
"106","H2BC5",2.03865978393335
"107","H3C10",1.80663155079137
"108","TTK",1.54998868949283
"109","ACAT2",2.15569027428334
"110","H3C2",1.84204030101479
"111","H2AC4",1.77793191968303
"112","H2BC4",1.79540305971766
"113","H1-3",1.88312506332671
"114","H2AC14",1.9071901022633
"115","H1-5",2.1722542337671
"116","H3C11",2.6830558638218
"117","SLC44A4",2.7123658017053
"118","ADGRF1",2.04442130933612
"119","C1GALT1",2.10928626638214
"120","HAUS6P1",2.16486042608206
"121","MUC3A",2.19271112052555
"122","AKR1B10",1.82161244013616
"123","AGMO",1.74401602356207
"124","AGR2",2.4756527909531
"125","AGR3",1.58303885925249
"126","WNT2",1.86970124780858
"127","NCAPG2",2.25485124284899
"128","CDCA2",1.58673252026184
"129","ESCO2",1.45231072215775
"130","FER1L6",1.95962022257185
"131","SQLE",2.71630455525625
"132","PBK",1.60643627829399
"133","GGH",2.13206236967959
"134","TRPA1",1.37038593178764
"135","SAMD12",2.26204273910526
"136","MELK",2.08555140246481
"137","CKS2",2.15260232360389
"138","MLLT3",2.23454337807189
"139","CTSV",1.88656251616041
"140","CORO2A",2.01692900718811
"141","TNFSF15",1.9480202193871
"142","SLC6A14",2.0940041414573
"143","BRCC3",2.1617543427401
"144","TRIM31",2.00379740327084
"145","SLC44A4",2.7123658017053
"146","ZNRD1",2.18333784957841
"147","SLC44A4",2.7123658017053
