"","GSM711904","GSM711905","GSM711906","GSM711907","GSM711908","GSM711909","GSM711910","GSM711911","GSM711912","GSM711913","GSM711914","GSM711915","GSM711916","GSM711917","GSM711918","GSM711919","GSM711920","GSM711921","GSM711922","GSM711923","GSM711924","GSM711925","GSM711926","GSM711927","GSM711928","GSM711929","GSM711930","GSM711931","GSM711932","GSM711933","GSM711934","GSM711935","GSM711936","GSM711937","GSM711938","GSM711939","GSM711940","GSM711941","GSM711942","GSM711943","GSM711944","GSM711945","GSM711946","GSM711947","GSM711948","GSM711949","GSM711950","GSM711951","GSM711952","GSM711953","GSM711954","GSM711955","GSM711956","GSM711957","GSM711958","GSM711959","GSM711960","GSM711961","GSM711962","GSM711963","GSM711964","GSM711965","GSM711966","GSM711967","GSM711968","GSM711969","GSM711970","GSM711971","GSM711972","GSM711973","GSM711974","GSM711975","GSM711976","GSM711977","GSM711978","GSM711979","GSM711980","GSM711981","GSM711982","GSM711983","GSM711984","GSM711985","GSM711986","GSM711987","GSM711988","GSM711989","GSM711990","GSM711991","GSM711992","GSM711993"
"MT-CO1",1.29725599150091,1.82382271581828,1.01534056000655,1.25227637265018,0.875976602138459,0.846705918545965,0.982188634275149,1.11212627632865,1.06635100508333,1.01735896900582,0.82336622092355,0.739554350451735,0.682771036386954,1.53605787504212,0.983568257295264,0.90709832873798,0.784487231656225,1.6176464181731,0.994348005526127,0.742066591458399,1.09306657374668,2.17835133262963,1.18382313049545,1.00842234703384,0.746708324544445,1.86787274826281,2.11328376412012,2.098749671578,0.834241970381532,0.850207344714474,0.726726606952984,1.9218514077304,1.16548107541531,1.55553151367646,2.03808846008367,1.68096791185208,0.612729932952372,0.946985320870193,0.973317380269363,1.37715151970034,0.944206275209535,1.22374997674729,1.11572578345883,1.73743583610426,0.897534744069793,1.23788183482065,0.645996714638742,1.06576530136595,0.779612732921574,1.94546911989907,0.595551399456135,0.748229352667295,0.884887017095216,1.2998776398598,0.922403389247915,1.1743936342902,1.38311534536824,2.25936891460623,0.636960968518159,2.07727718561368,0.688207219997823,0.628913542661786,0.652509440183664,0.794020695754518,0.640222952130415,1.99620071378827,0.657292436170546,0.924320359735039,0.823985714710197,1.10438363051655,0.541544575225153,1.45866022637041,0.880183971787897,1.06314394959647,1.18064437859056,1.05694415704988,0.650534812314778,1.00621183668136,0.51235837945587,0.753048229881551,1.50467123538574,1.91145382914657,0.970006926680764,2.17270831928184,1.02304239266586,1.63611647041756,0.864841833650298,1.47990828237956,0.946027117403909,0.949288393188547
"AJAP1",1.55891413008238,1.72347118895264,1.57133217218108,1.850903411812,1.61456851196421,1.743932830238,1.6883504724099,1.66064572564603,1.39777558598528,1.56966121106049,1.55289345660687,1.87517062174324,1.59346373194601,1.96605756292653,1.57271992960741,1.77654199539878,1.38182047565572,1.65951360572064,1.62269144332473,1.754421489842,1.52577823965633,1.87177663652762,2.06370656192524,1.63205877682427,1.68806843065787,1.72802497811554,1.52020095545326,1.92104399238086,1.66750614416524,1.68315744808926,1.58812814516637,1.93778127801614,1.94968806533421,1.83093675142158,1.80059554326809,1.80923744083388,1.99607413954422,2.30732651284544,1.53485845140072,1.96775884791762,1.63762879272399,1.91052928895962,1.97979488947648,1.72636913193838,1.66258834421815,1.79075535921021,1.62935195681538,1.97211546054152,1.73127883867865,2.07696605695421,1.83956057474906,1.68265868798488,1.51889765553679,1.44580084876687,1.5690681375518,1.99586436348773,1.60899843617667,1.8031608941719,1.38833283499074,1.66149423295618,1.63858361523166,1.75379705391134,1.7725529082415,1.63790232588904,1.6276021692061,1.94291605821675,1.84610814470848,1.5785475025727,1.3428107214929,1.67309052560685,1.48376677315911,2.05873902385498,1.57030262267087,1.61626358466156,1.56896602652856,1.91535644900235,1.45962571364034,2.11186596386756,1.32146058595358,1.74842258886931,1.79525576422918,1.88119082076857,1.62514889568976,1.82604606229964,1.77875947135154,1.9946774693765,1.66876360845253,1.87000560412589,1.62431617125631,1.86018812182055
"CTRC",1.79471945022776,3.52546756346514,2.61599297749524,3.37001079418006,2.15378264182125,2.68604999983009,2.16298983491298,2.12842208947552,1.77738815210677,1.76132783010978,1.74856427896964,1.87602376753146,1.85642801871191,3.45859198815186,1.59724510967345,2.17610571369584,1.98068706935629,1.83789481495102,2.21842161143632,3.16771277679776,1.89820061166949,3.53086979793141,3.2039747722603,2.54128188809886,2.33439379168643,3.42983017679567,2.42728702835874,3.20859529182768,2.70413051193698,2.52416650677281,2.07719513621774,3.53784272132138,3.49969284170173,3.47455285593529,3.49858277687656,3.48701034611158,3.01588288364734,2.69490692975683,2.0606907444601,3.26340705392105,2.02547535823375,3.4039221047398,3.26094549488531,3.51395809297037,2.26619285259672,3.50842865253186,2.97947664267712,3.46963856150655,1.82623322080227,3.39010359267891,2.93010525138616,2.56454889160424,1.54858951760705,1.69893853454772,2.03992446606529,3.41284925591011,2.2592423521006,3.45176500038823,2.89394072614631,3.50338690119814,1.86239981244405,2.61237609128324,2.19891527111617,2.78129256106538,2.24999743416718,3.49643678325542,2.78736977362522,2.04562469415607,1.79907901469937,1.84043503431915,1.96911916985783,3.40960817268175,2.34390237582179,1.91828318112005,3.21143278839208,3.03804806275019,2.93794507611316,3.15927072779799,1.76784121374615,2.83522074055096,3.49624502136118,3.48613511958811,2.46728730699413,3.49653904584452,2.67301361528961,3.50566231557223,2.02270869268961,3.3593243747517,3.38041084587293,3.29228702611359
"CELA2A",1.85769043693801,3.36282052553426,2.60785343629728,3.21664731512156,2.31605303601901,2.67962422105987,1.98341867941812,2.14292964407669,1.65044749893602,1.62499922785378,1.63257999009199,2.04855008417499,1.56959316582696,3.15325084559822,1.65445845513358,2.00257651531045,2.1786031088104,1.75077370200146,1.99814855611774,2.77546990538157,1.86534874834272,3.2940442908541,3.08550793855311,2.41181669680669,2.13369832002879,3.40845372865553,2.48064513682355,2.76531196007493,2.45526803160157,2.08985742394448,2.08709618039165,3.38265342051151,3.3214562564592,3.30739355034307,3.36784629387483,3.30048105857615,2.80782269160804,2.17203300138413,2.11006585314977,2.96673684134499,2.088918380102,3.17627010692659,3.11193271513028,3.34091827027212,2.01484087096744,3.37065253762352,2.68501168230762,3.24893401154546,1.97164471149079,3.37540092890636,2.72174449655363,2.59818414240482,1.80502411826483,1.74645896358218,1.72690095287168,3.33589766535364,2.26945811019976,3.40228559187,2.89983687530592,3.44689140529206,1.93012039441242,2.7111270275798,1.96828617098118,2.36368132797901,2.39619785811189,3.35411359249238,2.43640173539474,1.97250518336047,1.72306483721281,1.76498726702496,2.01683858953444,3.2927699720774,2.06467250069252,1.75822214853138,3.05115106878237,2.65797834725175,2.79774555634013,2.91673458671578,2.03037139483076,2.83299327706146,3.36064520246022,3.39241359924231,2.54722030243839,3.43091414022838,2.15324111579257,3.24945444323404,1.9536004939349,3.1773533568853,3.22650544712367,3.01272240976449
"CELA2B",1.99787767800077,3.36642013931299,2.63714650625315,3.23274056324472,2.27334281559328,2.62234706571063,2.11872849307382,2.15021195816759,1.81654646201646,1.84459856638353,1.83777374048874,2.06365479694983,1.92578679519862,3.28492864123184,1.8203954780956,2.08084182542546,2.05321910001608,1.85565090317094,2.17003720669312,2.87937837849731,1.8917224709041,3.38489251462474,3.10098941791607,2.4900797361613,2.28733339726763,3.3924960311083,2.47827552050595,2.96753753607086,2.55430888028437,2.3819754785573,2.04085737080314,3.3848096471541,3.35629877890826,3.34335096620051,3.34040560064397,3.3041298746539,2.9432987429149,2.40913564139314,2.04964819147254,3.0696832650705,2.18891043072158,3.22174409341136,3.18277491645237,3.3386526035645,2.05938989080583,3.36143150413314,2.89127335450528,3.33569762048106,1.98369593345814,3.35584791468946,2.78183179102048,2.62579182303582,1.71945508413204,1.72104011221256,1.80455750529053,3.34872815423108,2.28712354749153,3.40701277351601,2.90936989948822,3.39458273556305,1.94367757580682,2.57593187873105,1.97342025041727,2.50946276262575,2.31029649006206,3.35217941022736,2.64309655515182,2.02621932410398,1.7853161863014,1.78366199067508,2.03488477906259,3.25359451264235,2.28731862011344,1.92808222903922,3.11246661407598,2.84669388527406,2.86369864189545,2.99819369752629,1.95847151623916,2.75143158474347,3.34053378513139,3.31681913249714,2.40744249186698,3.3878312302865,2.34571428968098,3.34420357247843,2.06580320703784,3.17629723798899,3.26592141378306,3.12585440022644
"CELA3B",2.49391115500298,3.50866950418168,3.07409777974783,3.49295553521573,2.8326996671046,3.08826034627717,2.5122066557668,2.63583099252062,2.18703291276705,2.10018377892585,2.27435709219127,2.4437047726177,2.35987814549231,3.48992821940518,2.28481614369616,2.67105101559644,2.58557070890851,2.24856215964965,2.85100139429241,3.33963625445237,2.42225453328416,3.50528121145327,3.39275703428239,2.95113268478849,2.86422577178499,3.4966540825935,3.01593104069382,3.36749687659065,3.01395706847436,2.91339305415288,2.60567685191257,3.51553585051161,3.4950811191839,3.50799755446136,3.50568771893437,3.49540096608758,3.27693580936239,3.00474047328415,2.54505651512435,3.37652655252341,2.59350675786865,3.47461774778369,3.3958305697327,3.52950864107431,2.65899289755435,3.54710429117895,3.19802889591147,3.46353091238402,2.55391338951672,3.52201807383335,3.19805404881418,3.07987300589087,2.24161750942979,2.15725071879692,2.57318545119849,3.50418815469608,2.80464836212601,3.51135417775577,3.21783403991167,3.53241671007891,2.38557737013019,3.11792439300488,2.74379283834754,3.145731249601,2.84917062244639,3.51136682947956,3.04433291281596,2.60693015083311,2.40155128546377,2.29473248451171,2.57258412417668,3.47286464255998,2.85876481229738,2.42291381361081,3.38774853144683,3.32663801114802,3.25826714718166,3.30935229264982,2.54777307902128,3.17802140745573,3.50289066402827,3.52204319082775,2.96631048384011,3.53015816050179,2.99257448762123,3.50044515855297,2.46550959374751,3.4504326709319,3.45957588092839,3.42114249257246
"RN7SL386P",1.19024189192713,2.79721016727873,1.92350671911495,3.12114308211366,1.4155802111967,1.93124432030289,1.31289747289726,1.29851755796248,1.31652809271782,1.13574498755593,1.24649321742412,1.33245015864527,1.30217279974075,2.89498651238776,1.38546969261933,1.25127674978466,1.39196013976987,1.08965407279808,1.66955293566287,2.57458111537672,1.26603089525087,2.93384264622683,2.95023136716036,1.58938478975101,1.82268528605847,3.01647849112759,1.43325325967086,2.88513699945058,2.12364964409819,1.55833131698136,1.26173539565469,3.27029121449327,2.93041754413934,3.07020726202946,3.00046158856285,2.94902873372886,1.71501474991089,1.69369881599726,1.13751008143976,2.62098749429076,1.36405689186854,2.61865213758653,2.5546035855092,2.40743161450041,1.35809238622678,3.1097115780637,1.84878616541091,2.8204097751572,1.41350201559885,2.52454014795281,1.74068151505365,1.45214205044982,1.37269027235195,1.27771105547712,1.15444711155552,3.02602982635799,1.33251890314762,2.52357199216152,1.82242424377525,3.1263352608471,1.54981207793081,1.7082622939479,1.47955135442124,1.94896708109263,1.31777871336181,3.11141865072237,1.81190665043765,1.31037502410221,1.2349610948395,0.917905255931845,1.23057194190465,2.89992772445014,1.45937915604558,1.54179234943065,2.65114356137077,2.44798378205193,1.93433155302273,2.84786264951964,1.26409800127382,1.78571793231674,3.16308325357766,3.14650859931931,1.24679721277287,3.13871291322472,1.71049899327482,3.12947426441084,1.26630681168297,3.01077625886036,2.86412472045054,2.85886027362035
"AL590556.3",2.61015906817268,3.64003086634003,3.22623414504554,3.593867647029,2.96272668834469,3.26207078458775,2.78123589874648,2.86023580620552,2.00156807836881,2.39165500500294,2.17778706694372,2.63588669996093,2.42969629765183,3.62337526941479,2.076353860756,2.83804816135152,2.74602032765934,2.34794056413272,2.97794112168735,3.49501714129304,2.5939847373586,3.62670779172973,3.56776446366637,3.10150721128743,3.00725471528396,3.64058622520394,3.10395580515987,3.5418493314792,3.25767597575097,3.20531430753956,2.75731773111825,3.64297876442552,3.64028543235688,3.63423313053402,3.62886689501678,3.62208697098852,3.46556966974498,3.2653528764205,2.73895153907928,3.55268446568851,2.79519549081701,3.57496129674126,3.56671775358952,3.65214227213666,2.86623739926615,3.64086382448789,3.39088775955001,3.61525148913419,2.59804833030152,3.60043628191349,3.33605482401083,3.20978865578192,2.26923068038517,2.25851590967149,2.76830502962433,3.55216800535333,3.00617951514674,3.59735239052724,3.41636687110644,3.64191590347511,2.54745476480108,3.28474212737521,2.94498584701689,3.34621940221991,2.97427048519554,3.6364158133875,3.25224609122229,2.79161197553607,2.49389834927105,2.38753073515493,2.68742355667145,3.60581431780322,3.02750264888792,2.59833423564591,3.55170057235281,3.46717512261402,3.4217215069283,3.48757638635068,2.70478123998312,3.36290466568325,3.62894852740575,3.63278004874253,3.15187342540121,3.64587455030903,3.20825816322133,3.63328007403061,2.72529399351082,3.59631500795106,3.58161637978808,3.54455957159512
"RN7SL186P",1.48994876498265,3.05973597703329,2.13909944181927,3.25295905013731,1.57160400602931,2.14314521983639,1.81873605674514,1.91996165187332,1.69227988569167,1.49338090262026,1.44074494518204,1.84421288886651,1.54253046431141,3.10023088502811,1.18520053235457,1.65605697383331,1.63540615254069,1.5648902770864,1.8851291881576,2.89173219049258,1.53381249682767,3.18197712824881,3.12838579389101,1.70600885572681,2.21792242347857,3.23294619799501,1.50019017984198,3.15316165325682,2.54983671567331,2.21742306273664,1.37843948669826,3.39674861541628,3.13669834084554,3.27557030398428,3.21825110081201,3.19462134304958,2.33394461289243,2.21659765306904,1.53773340704472,2.88846661451855,1.51155912202227,3.00121856253935,2.84731146360494,2.76062974086569,1.44306023334502,3.29809960290983,2.47550258129139,3.10661967879127,1.34044263288799,2.98621977687308,2.48817563236278,1.6864781162124,1.30688631972584,1.41749339942839,1.36147080796954,3.23105448099144,1.42276045691524,2.90329284089395,2.10772134212886,3.25757189243717,1.70054181294683,2.1754543408491,1.20111941731398,2.33251031026396,1.47489285680103,3.22363569469834,2.01352657666573,1.63220306005866,1.32903746267317,1.4787233554368,1.50094988349066,3.17208902318564,1.8111709516374,1.43631644358076,2.9185427087559,2.82311345626721,2.45978044635426,3.11373216610667,1.39878267623747,2.0995914566807,3.30917618747851,3.29341168665713,1.57763426526733,3.24671362043734,2.10971492068802,3.31273486728759,1.57453267743468,3.22946179676561,3.12910163816721,3.14592684871338
"RN7SL386P",1.07238710716331,2.67280548445981,1.41698022223061,2.84375074356792,1.22587952563896,1.09711857837889,1.4448101632208,1.23411499690172,1.20164640628938,1.04347749828988,1.28417059352578,1.21452273530735,1.01558320367852,2.51542483282353,1.06991522162767,1.40504476953817,1.03302471868276,1.24933611082792,1.27014616628955,2.43288192712859,1.00118252516445,2.42461847239222,2.70752037357796,1.40264578401154,1.40514282497173,2.90101939962054,1.28802775283724,2.72869331429024,1.87682534338288,1.39404212951336,0.955134222609246,3.0439901081828,2.74830020894662,2.8664154594492,2.74999971648025,2.80909746927975,1.56719495283515,1.33005351184005,1.21251953622065,2.40692844666549,1.10223483393837,2.34896321471431,2.21533069278021,2.05588628850707,0.99944445546007,2.67771795056891,1.58910190037831,2.56275040769845,1.21189685824157,2.40312862783259,1.43995817620879,1.3146269266288,1.2821195000495,1.14399414441657,1.25253676669618,2.29482363084538,1.13574498755593,2.47946340208891,1.2614766567488,2.84966305834424,1.02886614707441,1.26776948674906,1.10238938548844,1.44402030618674,1.08673621891183,2.84092039252855,1.3878312302865,1.08054851916641,1.12646412408978,1.14207355574732,1.21153558183304,2.66995877204278,1.22232234587547,1.05837884360909,2.28558272941002,2.05498388605978,1.52236716085706,2.49119636033136,1.20422211654775,1.4823113664114,2.84182421384683,2.87695889606957,0.952408122326442,2.90532971730393,1.49314004732319,2.80394407194185,1.36036427654347,2.49537026386159,2.55295737719463,2.62460159725045
