"","GSM711904","GSM711905","GSM711906","GSM711907","GSM711908","GSM711909","GSM711910","GSM711911","GSM711912","GSM711913","GSM711914","GSM711915","GSM711916","GSM711917","GSM711918","GSM711919","GSM711920","GSM711921","GSM711922","GSM711923","GSM711924","GSM711925","GSM711926","GSM711927","GSM711928","GSM711929","GSM711930","GSM711931","GSM711932","GSM711933","GSM711934","GSM711935","GSM711936","GSM711937","GSM711938","GSM711939","GSM711940","GSM711941","GSM711942","GSM711943","GSM711944","GSM711945","GSM711946","GSM711947","GSM711948","GSM711949","GSM711950","GSM711951","GSM711952","GSM711953","GSM711954","GSM711955","GSM711956","GSM711957","GSM711958","GSM711959","GSM711960","GSM711961","GSM711962","GSM711963","GSM711964","GSM711965","GSM711966","GSM711967","GSM711968","GSM711969","GSM711970","GSM711971","GSM711972","GSM711973","GSM711974","GSM711975","GSM711976","GSM711977","GSM711978","GSM711979","GSM711980","GSM711981","GSM711982","GSM711983","GSM711984","GSM711985","GSM711986","GSM711987","GSM711988","GSM711989","GSM711990","GSM711991","GSM711992","GSM711993"
"KLHDC7A",2.14153415533351,2.3691007032734,2.09220067121893,2.27567458661256,2.14977637950175,2.11110478109881,2.14966258729061,2.02185278995812,2.09329311089141,2.16836925826374,2.05523036737216,2.20418767874507,2.08870472161143,2.1274979175482,2.1005269453143,2.15304650589818,2.05094044683802,2.10724260701297,2.03617273319624,2.10632151581833,2.03269331994508,2.16534600214931,2.20174676332022,2.11553603378805,2.11743240837805,2.20119785048497,2.22886485599855,2.09310376885297,2.07817942112498,2.11240656030723,2.03903659431499,2.24043340401026,2.20389648991758,2.21886174570794,2.1502964581993,2.17955882083958,2.15552257965747,2.04991649062098,2.00823946254568,2.1187517454987,2.00476024513094,2.16713630350865,2.06090859195631,2.18009374316262,1.93765323896769,2.2733696732815,1.94713498268977,2.1563480728792,2.04859890669624,2.08323039109889,2.20069894282168,1.99058461189976,2.02395434880082,2.11467019228477,2.01054712723715,2.20410001517412,2.13661140013076,2.27780030851573,2.11666417800218,2.180154227848,2.07257232795581,2.10333649199053,1.96679220320622,2.0729872734121,2.14625441782716,2.08651544338475,2.19368344460468,2.01415173005873,1.94997934536313,2.04203141200333,2.1385622045276,2.16885059516657,2.03187154578311,2.18977712703047,2.12447372073378,2.00282851444487,2.0464526436926,2.05711750414208,2.03638024664457,2.0805553409195,2.28933282755252,2.16531062372784,2.02467428041162,2.13367530726145,1.99659121575409,2.0830056733054,1.98224340636576,2.05014642161334,2.06825806174729,1.98053719244504
"HDAC1",2.93528057847247,2.5840653464097,3.03900499987757,2.80200705073202,3.08903367471381,2.80200084477794,2.79862706269928,2.89836703056059,3.08543825369134,2.8641326463012,3.00239648897553,2.79565475227328,2.85377214183587,2.79518094168506,2.96909521864193,2.77400687108901,2.91309620745803,2.80589706372385,2.95588374174319,2.87993116977324,2.85961976156859,2.78434064971722,2.87864687870525,2.82372286990189,2.94181809030763,2.69854521498368,2.86147306222206,2.78007278034105,2.95484026017929,2.99177124919981,2.99104922226963,2.75899813030225,2.84352765525384,2.80359076468773,2.81330098239625,2.76790899523226,2.93181351768497,2.84977513409033,3.00648654049326,2.83973188161615,2.98085520540749,2.87039431302431,2.83069342149152,2.75342055098187,2.94415191434979,2.72300584115578,2.9246187063672,2.86927525853497,3.07414060623571,2.73433894222198,2.96119545668738,2.91597017914445,3.10788200082872,2.9827271362101,2.9712437181208,2.6354665199444,2.81959870359198,2.66585888817453,2.9647793573351,2.79770821006155,2.8995333590248,2.88410554293527,2.99743332775848,3.04554956129717,2.9981521674824,2.86486956015195,2.91674987073677,2.86507551176976,3.02163429359893,2.95157847023032,2.88183099924906,2.84645119286668,2.96552757752307,2.86454473054506,2.92874172772428,2.87721025582818,2.83750330416437,2.91580577860271,2.85928579517849,2.83728934100544,2.75191998112188,2.79006302506438,3.06264328177136,2.83166852161509,2.96654490377643,2.90901460200132,2.84810710821709,2.83317143879956,2.87206043065656,2.90894737371375
"ATP6V0B",2.54188401510252,2.57010099748013,2.73151345926893,2.5730569628513,2.61616005400153,2.57907633601412,2.59198094410827,2.47526650578367,2.54951639219745,2.64562788513413,2.76748107119431,2.77358497183365,2.58707690326468,2.66585434141769,2.66941914334443,2.49006689637535,2.7304204104758,2.63120674617156,2.65560370575804,2.71530475387948,2.61646827114617,2.59413526810561,2.62653025140157,2.55468461889322,2.62913743036483,2.61213778899263,2.59270100402823,2.56591394910728,2.65847885650055,2.77789308380488,2.73491767842283,2.60255902351624,2.71043507270209,2.59437656240697,2.6406787642337,2.62837467044557,2.70115201167097,2.69553955983119,2.59988904495926,2.72239170190308,2.6510080507883,2.66347442192017,2.66783764004564,2.77392039179497,2.72338381114141,2.63411926177962,2.67647955370277,2.66938739419315,2.73575827473272,2.57239009423985,2.65987433713128,2.65262186670983,2.74896780481605,2.63271491641367,2.76177247304177,2.6646307431579,2.71016833905825,2.65624922636542,2.71449831064826,2.80507366122199,2.76142996118386,2.67817559509239,2.76904809488359,2.81240580774458,2.62806431935493,2.67690826307967,2.67457138048285,2.67870069293589,2.76287604187563,2.70902589674823,2.60365364096319,2.70502905919737,2.6099109463227,2.67375088074887,2.74822720545299,2.75998455935303,2.66699967119976,2.60092386169364,2.69774713567634,2.59869391938447,2.70755129454546,2.69686629068345,2.85756703150994,2.67685186122903,2.62361406380612,2.73106156336538,2.7060597073578,2.68378402379913,2.70322697420268,2.7446799418206
"TSPAN1",3.03534941968526,2.00132666926329,3.11037493722836,2.15186206311183,3.16465757525366,2.04104668383837,2.35041238017385,2.24738374274284,3.02855147200215,2.20720569038,3.20076798435609,2.24357464471254,3.04539404132057,2.09412119025708,3.07015229423495,2.33859270750303,2.95841026582492,1.94700402944672,2.99196530035057,2.401944417906,3.04282291239276,2.01760483646926,3.00066709220323,2.23086087004467,3.20068795863657,2.10177780206088,2.56134080164028,2.10874857981542,2.86334777578288,2.89231913224801,3.13709196908195,2.04459345980999,2.643604561817,2.56597485906734,1.98208638747537,1.96909706105727,2.77041467410808,2.34179508262281,2.99999639325789,2.34811908446244,2.70024660603475,2.38072944850355,2.280029841819,1.84644116337638,2.91466784278123,1.89530262133331,3.04432591761719,2.48303151176868,3.17680305906548,2.0619524202298,3.01366592002489,2.90079340372134,3.13385939912268,2.69762482824965,2.84083581902825,1.92667125426515,2.77403218112129,1.95340307546824,3.02260927777481,2.02253826292691,3.10561438874298,2.57819242342087,3.05319824318173,2.84016912574166,3.19726309454846,2.21612267333772,3.09741696359447,2.59481126810237,3.03929985438958,2.85910486443274,2.98362115307649,2.34910196738405,3.09903256616651,2.24579074318276,2.83283129275049,2.56515357641663,3.08781244027525,2.9854858575541,3.10035705451067,2.55389864863466,2.35880133005796,2.06507938126067,3.21783869181334,1.98797929775486,3.00991861858113,2.45271402916487,2.73018343780679,1.99461230667183,2.74012668008348,2.21635863052847
"FOXD3",1.7015091355441,1.90005335745738,1.52972601282252,1.89180022577848,1.65661535080517,1.67535527893851,1.70322475895409,1.7103358799992,1.58273903785201,1.68498476133279,1.58166458048438,1.86702267723315,1.6614349448998,1.59830326530335,1.4644800771159,1.79686351103925,1.62098983948237,1.61284314396001,1.57832045523041,1.59007499879192,1.57732005530401,1.69013545754808,1.40850535882533,1.466376535234,1.73770406499474,1.67510230927168,1.72156077727004,1.59518854378557,1.45911681446667,1.51863081192073,1.71134071726141,1.83533798664889,1.60796229768762,1.55932538585742,1.63521110212508,1.66662026780254,1.55400428829471,1.6199200364291,1.50913334721864,1.70607960533421,1.47570749464264,1.61940831508162,1.79117226767062,1.72395603963802,1.51430408511142,1.80758573479962,1.45168852367052,1.45342802530619,1.49920043558964,1.63057321696718,1.60756467716848,1.58077260681573,1.57108456464065,1.45089186993099,1.49668731372445,1.66097880145365,1.56530958297691,1.79346311314906,1.58755701742961,1.52633428320365,1.56345591488802,1.5642854818827,1.5037557874495,1.56238164902444,1.63144890442404,1.59540340355844,1.69860077509799,1.67063189126403,1.55310487543533,1.49367807288867,1.65090698376251,1.64100954273214,1.49691735440944,1.39309214806455,1.65876445747532,1.42776169657793,1.52274879964491,1.52769093131727,1.60519561811986,1.65618972236692,1.65926697791099,1.56208364269616,1.59869868280581,1.51412226017071,1.44762151145656,1.67935172912349,1.62312706864985,1.63359395484703,1.58016478456239,1.41460642974116
"LMO4",2.69827182805614,2.43929334099816,2.4370599119664,2.51376611993494,2.5304778165268,2.53966754287825,2.57540189119022,2.54063735857037,2.70054625168754,2.48833761751456,2.72805981761689,2.48384156822998,2.53491072922883,2.42270664368471,2.66645438946338,2.54294889191562,2.51280334358248,2.53096465640535,2.64710494085707,2.58955976981445,2.57143897015852,2.46681763977767,2.62136971019893,2.49042123252719,2.6724864430558,2.44575053622098,2.52305002212886,2.58311466820355,2.6751949193859,2.68556569414898,2.64847924865543,2.37916623631363,2.52389060218719,2.46150760514436,2.46865108428794,2.48102246740499,2.67662623177374,2.67020357900749,2.84362613993376,2.58746100737794,2.61992942411608,2.5560516778833,2.59370035864281,2.47630650473463,2.59264838723607,2.47130973954551,2.74217225141339,2.58617385585754,2.80399158619985,2.45174917795166,2.55128221441294,2.63930394885698,2.71123718085285,2.60759071519839,2.77626825640433,2.2925550221924,2.61675760594363,2.46938589421941,2.55536217448686,2.51981361087899,2.79065111326773,2.59026426926874,2.56564104091496,2.51512453763625,2.84202140916637,2.45009213592212,2.717699451174,2.61257661221754,2.6632056949229,2.59917018368416,2.61346800320325,2.56686872143986,2.77830951945838,2.5643123128505,2.6652972552828,2.59984858877099,2.63155832799275,2.62713987096555,2.54891744291109,2.6555533338468,2.49213263148573,2.54668212892897,2.56298480129755,2.47425950836232,2.70986848038409,2.50610680984228,2.6506175253784,2.5456916613301,2.49660806899463,2.59041997952409
"SNX7",2.28449340471831,2.22143167881229,2.47127591868746,1.97142399498551,2.13230045044132,2.07376540298455,2.28019320540804,2.08610776901376,2.51487466458851,2.16805790820871,2.52381032912646,1.96680696601042,2.32479908485122,2.28474212737521,2.45198385962576,2.25370795864162,2.31705800187596,2.15313084007554,2.32999612700028,2.1868428084872,2.29941465247836,2.23677118087368,2.44904362821471,2.0657273946981,2.40645231552057,2.31456892487426,2.31373924458626,2.42262592007513,2.51799371203484,2.39537544099047,2.4098389506741,2.29851169276436,2.23563210226242,2.303202093172,2.38133321523345,2.26831760780646,2.23297381834051,2.4021409439614,2.37632094858617,2.38309875182678,2.27802341695787,2.24945444323404,2.23535944739095,2.02656283599417,2.35943964404737,2.17151749871466,2.35038409009432,2.31243864568398,2.48169676462301,2.36124339237627,2.27771700585148,2.27388285748385,2.48835047270001,2.63043576030444,2.42692757111799,2.17933906312813,2.27697897220789,2.39780569942164,2.45948407932132,2.33662045346588,2.32259735013112,2.24996103893073,2.4980363624077,2.60287728428087,2.46692463298045,2.3631430361268,2.20132333468995,2.27713672886447,2.4201994137142,2.24615570755733,2.2837380910206,2.42864893407979,2.5509548262433,2.25098278948076,2.38921160074684,2.47259694425395,2.30060112636711,2.29279647053071,2.41401372432109,2.36695441331677,2.13925009440819,2.41672356516266,2.52286678594376,2.42640163648192,2.5414751908213,2.31569084503888,2.14936993752778,2.16789739224135,2.28971939902124,2.423613128686
"NBPF4",1.78780437445128,1.98384183523852,1.82146940566696,1.78654199844473,1.90676363285848,1.8111586182928,1.74949565226662,1.69303414504534,1.61516672333641,1.80236695039957,1.75608390849743,1.80682721136967,1.77941522463963,1.80266886592072,1.63242643789196,1.8595680813501,1.77955390349489,1.79490240143935,1.68097691058614,1.75914730972758,1.83809658314451,1.84147805075852,1.80275157147665,1.85412733946812,1.70438065642359,1.95225155036688,1.79624056598487,1.88482060825048,1.73889318912559,1.66681111791106,1.78570537944702,1.89760057025338,1.78986694237934,1.827973445681,1.93956887153517,1.80167189100444,1.8323634609483,1.61701160817507,1.62563988424586,1.6755133624582,1.73013995235651,1.76606080980744,1.7696998142434,1.93350843312636,1.7469146596479,1.83586345554217,1.63553152816975,1.74702641217531,1.74895922033481,1.73922596831974,1.71982303589243,1.72047985928469,1.82417314067198,1.78193877378112,1.65049804943095,1.9896295129684,1.81001938492342,1.86185216906202,1.84120830798931,1.83711168710279,1.75687811603808,1.78965831451774,1.78060826720436,1.72926561674395,1.62557442875873,1.82998753251949,1.76179587150565,1.80134907099308,1.72379444084724,1.73540953004279,1.83318560981137,1.68084192368142,1.64771513857188,1.66646575160191,1.66099248785566,1.57018116508715,1.73913089638243,1.73429991794388,1.66354956542974,1.752050620544,1.76151506488965,1.79150154019171,1.73316341495291,1.70058619973938,1.86957928513293,1.69703093389518,1.73176976037697,1.75713848677486,1.72677019540794,1.68212828539034
"VANGL1",2.23481398301219,2.13565963089256,2.4821590315509,2.12649055615282,2.28705851742233,2.06980526168681,2.08599224032823,2.11315371814444,2.31851641842284,2.02823319144275,2.35876195342774,2.18044069980282,2.27841005654251,2.27235470200365,2.21878736624569,2.18045661324365,2.30487605004489,2.03626066626773,2.17141501660924,2.22244600615711,2.03276736243721,2.06938596250981,2.18948301475174,2.12953361191816,2.36295795190629,2.01830301412342,2.01963075633551,2.17467805684213,2.1072660452973,2.12493023525479,2.24739893465142,2.18831862723388,2.12754414020757,2.23631504498691,2.16124598367993,2.14449347051212,2.26716721206867,2.17409956550938,2.27025682293917,2.12664253111817,2.28802775283724,2.11689369226303,2.07826824713921,2.0597809621455,2.259016320007,2.2130454896981,2.25439449471389,2.19201736906303,2.33379867121133,2.21481489523476,2.22538908214657,2.13546591819119,2.44603120485784,2.15233920223442,2.293467602389,2.25381988328507,2.21810847644883,2.13909944181927,2.32906904559702,2.2058898004559,2.35567598559963,2.13328403404271,2.31080543106317,2.43531388687423,2.26914688141503,2.26331390092275,2.16823445514788,2.22124295999332,2.32835108111034,2.16560327366463,2.26078445251744,2.17403562958109,2.19129101441739,1.93449763036991,2.13491090221691,2.25871488878438,2.27245623127003,2.26039004856088,2.3808928782008,2.26186775575779,2.22001413727986,2.20024695298728,2.44074760245825,2.09142903898041,2.32879913286372,2.21209925806504,2.17797518002844,2.20603989129589,2.26525384700457,2.29607263738873
"TTF2",2.19118676831057,2.05253066522793,2.3462392625825,2.26962267520716,2.50625155841347,2.20739313045834,2.05134077627752,2.34868283696346,2.46707597566783,2.24840731957806,2.33367847285829,2.25062510751614,2.24135208577066,2.24940286363491,2.45798820176763,2.33145872787587,2.51908391333873,2.28715310564491,2.44739140917125,2.36969539822857,2.34530552986814,2.29863485691784,2.33881231423898,2.22984321718412,2.28114628585502,2.16108793366596,1.99844104736981,2.35871132475249,2.40767361652075,2.39467053062149,2.48343917664927,2.31063095723059,2.12722055048807,2.20875758491564,2.22266238614818,2.13976415980098,2.38777609825344,2.41058533253684,2.3843620805438,2.38118922042702,2.46275385831056,2.30341838533658,2.27319359710881,2.22803365084349,2.45384940700336,2.23030447811962,2.37385419649968,2.32201753920715,2.53941940344972,2.28515656987124,2.37107370097227,2.36410453104596,2.44692315672259,2.50846921983611,2.40858415920653,2.20616495506908,2.34814175213009,2.20149585765242,2.49541887541768,2.28618032447058,2.34221337345832,2.19294846284148,2.3896989609811,2.60484229507773,2.43492974440808,2.30206456430098,2.3361148255276,2.24744450941735,2.26140143324442,2.32023048713015,2.46066394066415,2.35361123677822,2.29629587521966,2.22409585643218,2.33106597876669,2.4579514413929,2.33258764437445,2.41145607557869,2.3689191747631,2.26507377610395,2.32086010535222,2.28054066279671,2.39847624492261,2.29860846548439,2.42661901026579,2.31060187620698,2.29106421459617,2.26527185285853,2.30548321913641,2.35576336195983
