"","rownames.upRegulated_DEGs.","expres"
"RNA5SP55","RNA5SP55",1.66069644544605
"OR52N5","OR52N5",1.46030305753808
"RNU6-419P","RNU6-419P",1.38017622075861
"RNU6-22P","RNU6-22P",1.88499719266485
"RNU6-227P","RNU6-227P",1.99574106698522
"DTNA","DTNA",2.15983532153135
"SLC6A16","SLC6A16",1.93580483679812
"RNA5SP119","RNA5SP119",2.03225437610657
"AJ239322.1","AJ239322.1",1.28314992497814
"TTN","TTN",2.19182127230198
"CCDC141","CCDC141",1.99165489513213
"ITIH4","ITIH4",2.24989947524431
"RN7SL582P","RN7SL582P",1.79296605125259
"ADCY5","ADCY5",2.22101256181085
"RNU6-158P","RNU6-158P",1.47057709886207
"AQP1","AQP1",2.67476945729677
"MTND1P27","MTND1P27",1.26948726067014
"AC009879.3","AC009879.3",2.268278781247
"VLDLR","VLDLR",2.63079836297999
"RNA5SP282","RNA5SP282",2.14595705967702
"Y_RNA","Y_RNA",0.553341953907403
