	GSM414924	GSM414925	GSM414926	GSM414927	GSM414928	GSM414929	GSM414930	GSM414931	GSM414932	GSM414933	GSM414934	GSM414935	GSM414936	GSM414937	GSM414938	GSM414939	GSM414940	GSM414941	GSM414942	GSM414943	GSM414944	GSM414945	GSM414946	GSM414947	GSM414948	GSM414949	GSM414950	GSM414951	GSM414952	GSM414953	GSM414954	GSM414955	GSM414956	GSM414957	GSM414958	GSM414959	GSM414960	GSM414961	GSM414962	GSM414963	GSM414964	GSM414965	GSM414966	GSM414967	GSM414968	GSM414969	GSM414970	GSM414971	GSM414972	GSM414973	GSM414974	GSM414975
ANLN	4.492494152	5.162693432	5.134631671	3.3305584	4.078097423	6.116863758	2.837943242	5.757289992	4.443606651	6.703211467	2.553360503	5.292045492	6.268471823	5.7322692	4.535430915	7.057450272	2.733354341	5.59275601	2.914564523	5.853496704	8.030115331	6.543805176	5.607626221	3.007195501	5.895302621	3.746312766	5.181500152	5.149340669	4.500802053	3.987320866	4.557655155	3.513490746	6.406672716	2.970853654	6.849248703	5.242602506	6.336104825	5.198886991	3.810443104	3.698218478	5.059614856	7.321928095	2.967168608	7.213347282	5.381283373	5.008540672	3.924099886	6.799605422	3.142413438	5.501757586	4.635754391	2.976363636
CBSL	5.277984747	5.036063689	3.690417096	8.323279988	8.189824559	3.508428653	8.704595348	5.730639956	4.737686761	6.060047384	3.612352499	5.806066226	4.03562391	3.436961338	4.486070744	4.781884235	4.06436554	4.259272487	9.636987061	4.007195501	3.574101508	7.29553937	4.106850796	9.492654371	3.85698569	6.820178962	5.471837762	3.746312766	4.730096466	3.724650272	4.771357409	4.73714592	4.519793486	9.124121312	4.17951105	3.554588852	3.577730931	5.162693432	6.132988043	6.024364009	5.137503524	4.56315813	9.569475902	4.376429311	3.450221496	5.010779839	5.017476563	4.159467729	9.058262372	3.350497247	7.421223299	9.129798173
SLC4A4	5.714245518	4.708187236	5.277612871	8.903279342	8.635173947	4.523561956	9.447496547	4.026800059	6.245647774	6.339850003	3.021479727	4.911691582	3.060047384	3.991861931	5.678353654	4.260778432	5.539779192	5.78633498	8.436711542	3.042644337	2.543495883	5.737416366	3.365972428	8.486633935	4.540399306	7.351380981	6.929554316	4.721919446	6.251340383	2.397802962	4.070389328	6.271276259	2.961623328	7.969818186	3.028569152	3.993674362	4.590362488	5.249066034	8.096978636	7.091699834	5.713145902	2.333423734	8.582330188	4.645586386	5.831623937	5.90014226	6.842978832	3.319039816	7.29186137	3.725741157	7.257387843	8.608069968
REG4	12.63117706	4.170726276	8.759555343	3.392317423	3.147306699	11.33035672	3.411426246	4.800123353	3.279471296	6.059182199	3.282439805	9.622600964	9.090906345	9.168922782	11.14593215	6.733354341	3.972692654	12.95673915	3.47118746	4.820178962	3.258518925	2.904965719	3.805292456	4.351910961	11.04165915	3.35473424	3.845991771	10.79928162	3.017921908	3	9.147713722	4.753283616	3.906890596	4.189033824	9.010388235	3.74092756	11.55362929	12.39767463	9.060966074	3.010779839	12.01993816	9.900414008	2.815575429	3.310340121	11.1221809	12.13057056	2.914564523	3.075532631	4.04701482	12.95274125	10.76155123	3.476381688
SLC44A4	8.578183968	6.956521363	7.36719631	5.858727024	7.132371199	8.083745237	4.214124805	8.918266959	5.842224613	8.55880334	3.64731451	5.937815169	7.806710718	8.000563443	9.03919324	7.524345816	5.14689956	8.035073997	4.131754091	6.402074074	3.715893371	3.902073579	5.764738923	4.117695043	8.419538892	5.690696444	6.619266268	8.129283017	7.627898616	4.427606173	8.426264755	6.597978037	7.874059203	3.960697039	8.424166289	8.659639187	7.869748051	7.886915896	5.003602237	4.010779839	7.891783703	6.668175869	3.731183242	7.069315495	7.153805336	8.93516505	5.230356745	8.619853147	4.157852169	9.427941333	6.591559746	3.730096466
ADAM9	7.015693807	6.710117632	7.23935985	5.659924558	6.366497076	8.124121312	3.870857864	8.473299871	7.269594252	8.326429487	5.939226578	6.574858391	7.92659251	7.478162893	6.672425342	7.703211467	5.997969782	7.672425342	4.256255873	8.428360173	9.087993146	6.619266268	7.791162889	4.878234879	7.824640581	7.249824549	7.563005553	8.572889668	7.084276911	7.020146573	8.389308673	7.515699838	7.827819025	5.290940402	9.272629785	7.696272084	7.60659028	7.595443985	4.881664619	5.789990019	8.084808388	7.020146573	2.821710215	8.40045254	8.197216693	8.638073837	7.001126665	8.680886921	3.703765179	8.902375114	6.996614715	4.329123596
AP1S3	6.064149939	5.920055055	6.678071905	4.191404729	5.373996142	7.154818109	3.420886575	7.063934306	5.626731151	7.170926525	4.005399988	5.720278465	6.744161096	6.683696454	5.61999983	6.9795681	4.462052319	7.366322214	3.122672719	7.048759312	6.93191939	5.475409193	6.762880293	4.139142019	6.809928866	5.811471031	5.947666157	6.323370069	6.56270035	5.177917792	7.105384749	5.357903839	7.263973355	3.626439137	7.778734244	6.585263031	6.486875235	5.874059203	5.493775408	4.876271361	6.371384614	7.505414609	3.353323291	7.224001674	6.014355293	7.153805336	4.608809243	8.254083779	3.415488271	7.48864354	5.844737144	3.444932049
POSTN	10.29462075	10.62935662	8.470862199	6.574858391	6.980710829	10.38370429	4.247927513	11.66799854	11.89557528	10.04302728	9.492454094	11.59011917	12.42652685	11.43358544	7.787902559	11.67065625	10.30606169	10.42836017	5.370513052	10.93073734	10.10197567	7.900263044	10.62662165	6.443275112	10.59618976	11.62798978	11.1376316	11.26561505	10.09011242	9.901621158	10.70303839	9.395748328	11.90312868	8.09592442	12.40806432	8.566815154	11.68431031	11.72494012	8.944272818	10.11634396	11.81738343	10.13570929	4.22881869	9.214319121	10.86805085	9.710634264	10.72621816	12.51101135	5.000901403	10.46862404	9.667821181	4.351910961
CD55	11.45789384	11.86766485	12.17430154	7.900263044	7.961160258	13.51865316	8.001689668	11.64745843	8.927777962	13.29519496	8.836681593	10.07012094	11.00492268	10.61562964	10.6183855	9.855179947	9.017643583	10.8008999	8.157346935	11.22881869	8.976134473	8.112178834	12.46786024	8.418274294	11.6183855	10.12670447	10.8008999	13.09638573	10.22641219	9.397460726	10.17242751	9.254556252	11.38640142	7.582706527	11.33371443	11.48381578	10.90989308	10.65374078	8.687200695	8.749534268	12.32755264	11.73935871	7.170926525	10.08878824	10.64205169	9.562433244	7.442114122	11.52160044	6.95419631	9.893908215	8.943686952	6.106013238
MTMR11	8.495855027	7.798309782	9.432750669	4.039138394	4.655924213	7.12722055	2.90303827	7.656067274	5.249824549	6.226701185	4.11353382	5.747118816	6.855491443	7.213347282	7.437960088	6.716990894	5.128458384	7.04220656	2.89917563	7.836050355	5.266036894	4.568640195	6.885086225	4.257010618	8.010667963	4.833396134	6.897240426	6.454833907	5.7473874	4.37920506	7.863566829	6.043300754	6.259837401	3.493134922	7.211401637	8.391028727	6.481557281	6.070389328	4.250203656	4.647890091	6.553667688	6.492333915	2.40599236	5.951168129	6.085976949	6.666756592	4.614709844	5.88679399	2.634593268	6.683696454	5.927659461	2.40599236
