"","GSM414924","GSM414925","GSM414926","GSM414927","GSM414928","GSM414929","GSM414930","GSM414931","GSM414932","GSM414933","GSM414934","GSM414935","GSM414936","GSM414937","GSM414938","GSM414939","GSM414940","GSM414941","GSM414942","GSM414943","GSM414944","GSM414945","GSM414946","GSM414947","GSM414948","GSM414949","GSM414950","GSM414951","GSM414952","GSM414953","GSM414954","GSM414955","GSM414956","GSM414957","GSM414958","GSM414959","GSM414960","GSM414961","GSM414962","GSM414963","GSM414964","GSM414965","GSM414966","GSM414967","GSM414968","GSM414969","GSM414970","GSM414971","GSM414972","GSM414973","GSM414974","GSM414975"
"ANLN",4.49249415167943,5.16269343221124,5.13463167144765,3.3305584000308,4.07809742302666,6.1168637576909,2.83794324189103,5.75728999237877,4.44360665147561,6.70321146739115,2.55336050333533,5.29204549249286,6.26847182291237,5.73226919950145,4.53543091487128,7.0574502721839,2.73335434061383,5.59275601044103,2.91456452349394,5.85349670370232,8.03011533090807,6.5438051759644,5.60762622084549,3.0071955014042,5.89530262133331,3.74631276642546,5.18150015170461,5.14934066928622,4.50080205305716,3.98732086592925,4.55765515472542,3.51349074558812,6.40667271575583,2.97085365434048,6.84924870276441,5.24260250592898,6.3361048254481,5.19888699095693,3.81044310384517,3.69821847822441,5.05961485629722,7.32192809488736,2.96716860753263,7.21334728173344,5.38128337250378,5.00854067170295,3.92409988564074,6.79960542245267,3.14241343787374,5.50175758573866,4.63575439127776,2.97636363573276
"CBSL",5.27798474729977,5.0360636887437,3.69041709553247,8.32327998788732,8.18982455888002,3.50842865253186,8.7045953476324,5.73063995591679,4.73768676140986,6.06004738366994,3.61235249875266,5.80606622608903,4.03562390973072,3.4369613378336,4.48607074373567,4.78188423454149,4.06436554026363,4.25927248703759,9.63698706120399,4.0071955014042,3.57410150808939,7.29553937040683,4.10685079645022,9.49265437101891,3.8569856897822,6.82017896241519,5.47183776242229,3.74631276642546,4.73009646559547,3.72465027173297,4.77135740899056,4.7371459197762,4.5197934862411,9.12412131182919,4.17951105027151,3.55458885167764,3.57773093149008,5.16269343221124,6.13298804262744,6.02436400911417,5.13750352374993,4.56315813040281,9.56947590177766,4.37642931106992,3.45022149589718,5.01077983875324,5.01747656302046,4.15946772926677,9.05826237186247,3.35049724708413,7.42122329922514,9.12979817318714
"SLC4A4",5.71424551766612,4.70818723602071,5.27761287075669,8.90327934205614,8.63517394667492,4.52356195605701,9.44749654666539,4.02680005934372,6.24564777363675,6.33985000288462,3.02147972741045,4.91169158187234,3.06004738366994,3.99186193055632,5.67835365397417,4.26077843189343,5.53977919169849,5.78633498041697,8.43671154213721,3.04264433740849,2.54349588342577,5.73741636593706,3.36597242759338,8.48663393507016,4.54039930563062,7.35138098067433,6.92955431573285,4.72191944555154,6.25134038278862,2.39780296186249,4.0703893278914,6.27127625917593,2.96162332828694,7.96981818594658,3.02856915219677,3.99367436175058,4.59036248846375,5.24906603385587,8.09697863637054,7.09169983413681,5.71314590249026,2.33342373372519,8.58233018791316,4.64558638591361,5.83162393682075,5.90014226035982,6.84297883178833,3.31903981556254,7.29186136958522,3.72574115650395,7.25738784269265,8.60806996772166
"REG4",12.631177055704,4.17072627613155,8.75955534320631,3.39231742277876,3.14730669878029,11.3303567169579,3.41142624572647,4.80012335282653,3.27947129564447,6.05918219921169,3.28243980500639,9.62260096431141,9.09090634523191,9.16892278185294,11.1459321458205,6.73335434061383,3.97269265400426,12.9567391450591,3.47118746038699,4.82017896241519,3.2585189247113,2.90496571868403,3.80529245560071,4.35191096110308,11.0416591516372,3.3547342399706,3.84599177066457,10.7992816215219,3.01792190799726,3,9.14771372235215,4.75328361646088,3.90689059560852,4.18903382439002,9.01038823531185,3.74092756031863,11.5536292939164,12.3976746329483,9.06096607400477,3.01077983875324,12.0199381564248,9.90041400836175,2.81557542886257,3.31034012061215,11.1221809012598,12.1305705628054,2.91456452349394,3.07553263116736,4.04701481951759,12.9527412471865,10.7615512324445,3.47638168756724
"SLC44A4",8.57818396809009,6.95652136333312,7.3671963100259,5.85872702377863,7.13237119873254,8.0837452373945,4.21412480535285,8.91826695909256,5.84222461287724,8.5588033402543,3.64731450954714,5.93781516880342,7.80671071796524,8.00056344271011,9.03919323984743,7.52434581646254,5.14689956034359,8.03507399737762,4.13175409098481,6.40207407351685,3.7158933705476,3.90207357931074,5.76473892302338,4.11769504266975,8.41953889151378,5.6906964439777,6.61926626848919,8.12928301694497,7.62789861587175,4.4276061727819,8.4262647547021,6.59797803656041,7.87405920314115,3.96069703930431,8.4241662888181,8.65963918701565,7.86974805146507,7.88691589584725,5.0036022366802,4.01077983875324,7.89178370321831,6.66817586897014,3.7311832415722,7.06931549454008,7.15380533607904,8.93516504960369,5.23035674505615,8.61985314739117,4.15785216914174,9.42794133250948,6.5915597458278,3.73009646559547
"ADAM9",7.01569380710515,6.71011763204345,7.23935985027747,5.65992455840238,6.36649707577453,8.12412131182919,3.87085786436376,8.47329987114132,7.26959425168337,8.3264294871223,5.93922657772821,6.57485839129278,7.92659251005107,7.47816289273763,6.6724253419715,7.70321146739115,5.9979697822671,7.6724253419715,4.25625587320273,8.42836017270429,9.08799314636232,6.61926626848919,7.79116288855502,4.87823487911234,7.82464058085342,7.24982454861618,7.5630055530624,8.57288966842058,7.08427691053149,7.02014657311178,8.38930867290642,7.51569983828404,7.82781902461732,5.29094040240368,9.27262978497637,7.69627208392586,7.60659028037053,7.59544398458948,4.88166461932035,5.7899900186681,8.08480838780436,7.02014657311178,2.82171021503467,8.40045254027644,8.19721669311005,8.63807383718072,7.00112666545428,8.68088692071969,3.70376517879341,8.90237511448603,6.99661471481536,4.32912359629157
"AP1S3",6.06414993912135,5.92005505480697,6.67807190511264,4.19140472885276,5.37399614213124,7.1548181090521,3.42088657497553,7.0639343057541,5.62673115067279,7.17092652528738,4.00539998774259,5.72027846523333,6.74416109557041,6.68369645430652,5.61999982982136,6.97956810009519,4.46205231879643,7.36632221424582,3.12267271882414,7.04875931191986,6.93191939010004,5.47540919340106,6.762880292917,4.13914201914569,6.80992886572143,5.81147103052984,5.94766615679601,6.32337006906127,6.56270034996397,5.17791779219584,7.1053847492476,5.35790383855249,7.26397335480341,3.62643913669732,7.77873424411784,6.58526303088387,6.48687523549849,5.87405920314115,5.4937754084607,4.87627136055013,6.37138461355796,7.50541460934675,3.3533232911629,7.2240016741981,6.01435529297707,7.15380533607904,4.60880924267552,8.25408377931942,3.4154882710497,7.48864353985378,5.84473714406068,3.44493204894218
"POSTN",10.2946207488916,10.6293566200796,8.4708621994137,6.57485839129278,6.98071082890019,10.3837042924741,4.24792751344359,11.6679985356725,11.8955752823807,10.0430272835945,9.49245409406421,11.5901191741072,12.4265268484517,11.4335854411505,7.78790255939143,11.6706562491184,10.3060616894283,10.4283601727043,5.37051305246041,10.9307373375629,10.1019756709492,7.90026304356897,10.6266216523584,6.4432751117658,10.5961897561444,11.6279897843157,11.1376315982354,11.2656150464845,10.0901124196643,9.90162115834611,10.7030383889864,9.39574832817903,11.9031286768123,8.09592441999854,12.4080643199147,8.5668151540109,11.6843103111243,11.7249401184624,8.9442728176116,10.1163439612375,11.8173834278972,10.1357092861044,4.22881869049588,9.21431912080077,10.8680508537452,9.71063426411374,10.7262181593322,12.5110113528822,5.00090140274153,10.468624042918,9.66782118057477,4.35191096110308
"CD55",11.4578938373147,11.8676648483807,12.1743015444676,7.90026304356897,7.96116025813664,13.5186531556734,8.00168966840421,11.6474584264549,8.92777796208234,13.2951949558807,8.83668159332712,10.0701209444768,11.004922678569,10.6156296369681,10.6183855022586,9.85517994681633,9.01764358349734,10.8008998999203,8.15734693536284,11.2288186904959,8.97613447283165,8.11217883372259,12.4678602407079,8.41827429388054,11.6183855022586,10.1267044728432,10.8008998999203,13.0963857344527,10.2264121927888,9.39746072605472,10.1724275086455,9.25455625190949,11.3864014236408,7.58270652678079,11.333714426094,11.4838157772643,10.90989308377,10.6537407787066,8.68720069465189,8.74953426766926,12.3275526440812,11.7393587074334,7.17092652528738,10.0887882387169,10.642051692928,9.56243324427834,7.44211412241923,11.5216004397237,6.95419631038687,9.89390821507509,8.94368695159709,6.10601323762212
"MTMR11",8.49585502688717,7.7983097824546,9.43275066893517,4.03913839390696,4.65592421308382,7.12722055048807,2.90303827011291,7.6560672737256,5.24982454861618,6.22670118455169,4.11353381959191,5.74711881638081,6.85549144310187,7.21334728173344,7.43796008833447,6.71699089440494,5.12845838414693,7.04220656012069,2.89917563048051,7.83605035505807,5.26603689399532,4.56864019541922,6.88508622529017,4.25701061820602,8.01066796290185,4.83339613416323,6.8972404255748,6.45483390689887,5.74738739965272,4.37920505996061,7.8635668293235,6.04330075436418,6.25983740058951,3.4931349223055,7.21140163741847,8.39102872681019,6.48155728070859,6.0703893278914,4.2502036564993,4.64789009105921,6.55366768848306,6.49233391454472,2.40599235967584,5.95116812883891,6.08597694907364,6.6667565918848,4.61470984411521,5.88679398997529,2.63459326844576,6.68369645430652,5.92765946070309,2.40599235967584
"HOMER2",5.27239650903748,4.37642931106992,5.12556845177803,7.98413359454098,7.82845387393049,4.46336088581666,7.52825874275841,3.06177619758669,6.27593823906443,4.55028504908841,2.98550043030489,4.16912328147676,2.9297909977186,3.68032435684402,4.22650852980868,4.28909670241999,5.23189316164533,5.05137210172103,8.00281501560705,2.25398926623079,4.12598165385472,6.02901108665907,4.18189764310839,7.85362145574883,3.10601323762212,6.41531924814038,5.38681094647222,4.76234881564413,5.35755200461808,3.54225804976692,3.73660487531425,5.86666075081999,4.25927248703759,7.51491126486135,3.71259578044703,4.36876834909033,3.93922657772821,4.65363331138625,7.62716906084185,6.68650052718322,5.00539998774259,4.38335869538511,8.65892551149237,4.49697358099828,5.46172499150271,6.40446038438375,7.83352263642478,3.24336442569366,8.24935052362723,3.8073549220576,7.40854204229686,8.98555735370211
"CP",8.11894107272351,7.28169825009883,9.49024921062709,3.92599941855622,4.3327079336406,6.96693797927846,3.4154882710497,9.52552080909507,6.85424505422013,11.5985178106126,4.04351949366274,5.09127669436522,5.54008928198252,7.30012372456901,5.45055144330648,6.66959375118833,5.69320814891002,5.74227574754027,3.52105073690096,3.79389588254888,10.876516946565,7.68580001974489,5.05571626351254,3.74846123300404,9.08454267364192,5.26641176603611,7.2364926183813,5.36141746678921,5.85474373899554,4.36106648879432,3.38956681176273,4.63052196347164,6.40565206128037,3.56071495447448,4.46858331700683,6.26528685756517,7.58120058192496,5.25889575507544,5.93380866199012,4.68706068833989,5.56102057782927,6.14954390870909,3.21567859660793,11.9939997917925,7.42374622911477,6.99095486039699,5.81326814176608,3.91934008244201,3.82781902461732,3.23725777090037,3.611172380044,3.01435529297707
"AQP12B",5.8804406478879,5.64846544302731,3.36457243229586,10.2395985292491,10.4757334309664,2.17312743348066,10.4563544151083,2.46727948045998,4.21256933885081,3.21878116778407,3.43028527297778,3.39917109381982,2.12763327972587,3.19692173382033,2.06004738366994,3.31324585178756,2.99819550315325,5.05961485629722,11.6715410667119,3.19692173382033,2.15055967657538,9.45840661323653,2.58736499093646,9.83447104998422,3.20633064787105,8.16942397867607,6.96347412397489,2.34482849699744,6.53915881110803,2.47248777146274,4.22342254993494,4.35895882583233,2.68706068833989,10.2819300269554,3.32768736417605,3.33342373372519,3.4931349223055,5.3327079336406,6.62087961135541,6.25361115194717,4.69209237542757,2.31903981556254,10.3162815317462,3.22342254993494,3.32337006906127,4.42290574261218,6.34801990922869,3.44757919654888,11.0028150156071,3.38404980679516,9.20701432017753,11.1761731491075
"NR5A2",6.34411833452143,6.32391043801979,6.36527259976453,9.14771372235215,9.28632672709055,4.41818994794577,10.8849336479498,4.75060650483559,8.32327998788732,4.71314590249026,4.08915913191124,3.7311832415722,4.4757334309664,4.34766565630097,6.63560930201924,5.30633516019798,6.14261765544658,6.27463440251759,10.9729797860663,5.83263688756687,2.95233356636969,9.27006167272776,4.5837597536395,10.1548181090521,5.89141918684608,8.11997860965488,7.82464058085342,5.12763327972587,6.97154355395077,3.61823865559545,4.18665901720211,6.70597790168252,3.92599941855622,9.95041008927126,3.55949181320504,3.18586654531133,6.93073733756289,5.26077843189343,10.5574637015978,7.65320336203398,7.10013667128545,3.15704371014558,9.62935662007961,7.04875931191986,7.63226821549951,7.6560672737256,9.11868157186106,2.80529245560071,9.14312807294381,4.54720302475693,8.5808238499628,10.292321632802
"PDK4",8.2460279805281,6.85673675611911,7.3566720442121,7.84360704649056,8.2460279805281,7.43379405875492,11.4288835520102,5.30122180533309,6.39865819636551,6.34660237529899,7.68509917200661,6.86666075081999,5.48767927890162,5.03121873061072,8.62021982550749,6.82145511910246,8.14159627838382,7.39489136644259,12.2544381482673,6.94602898951548,5.4178525148859,5.74711881638081,7.29737486052832,10.5574637015978,3.93451650158608,8.27052894238072,7.3264294871223,6.13401553005844,6.84423498775875,7.66106547980695,6.38370429247405,6.40446038438375,4.12350066435096,11.270295326472,6.34180788924394,6.20515788392009,5.22110372536788,5.7292808460274,7.61765111942733,8.01346225980656,6.48590979153593,5.82832692641482,11.7972562175098,3.16027483140859,7.34074028063018,5.74038793246835,6.88264304936184,6.01547080763938,10.9722618487333,4.49249415167943,7.50382573799575,10.1736771363034
