"","rownames.filtered.","expres"
"1","ANLN",4.93761472020349
"2","CBSL",5.42756814834542
"3","SLC4A4",5.52408159646575
"4","REG4",6.61394166687172
"5","SLC44A4",6.60610651141181
"6","ADAM9",7.03922085048685
"7","AP1S3",5.91322977879482
"8","POSTN",9.70309313068196
"9","CD55",10.0539423951961
"10","MTMR11",5.86339076240137
"11","HOMER2",5.3144559015404
"12","CP",5.88127900462367
"13","AQP12B",5.29024204895652
"14","NR5A2",6.56746441278342
"15","PDK4",7.18465025731653
"16","ALB",5.97319347762974
"17","S100A11",11.9340065244881
"18","PFKP",8.6183709798159
"19","BHLHE40",6.88143830125886
"20","SLC2A1",6.67257957127224
"21","SDC1",7.75804644606718
"22","SDC1",8.21160187678255
"23","TOP2A",6.90850863265011
"24","TOP2A",6.58360083639094
"25","CLDN4",7.83257968036422
"26","NQO1",7.16421624053435
"27","NQO1",9.18122368644178
"28","KRT19",10.5224010479026
"29","CAPG",9.0406508109204
"30","CEACAM5",8.91015276768893
"31","CD55",10.3049650843409
"32","CD55",9.27784512977206
"33","SEL1L",5.06015057987384
"34","MX1",8.31214602606785
"35","LY6E",7.44650829792065
"36","LAMC2",7.67156105005807
"37","TACSTD2",11.8108218252476
"38","COL1A1",12.3875730119896
"39","COL1A1",9.81940099805549
"40","COL1A2",13.4301978574595
"41","IFI27",9.49854890159181
"42","AC020907.6",8.81768547449927
"43","TRIM29",7.97733563564989
"44","H2BC21",6.70401551175041
"45","GPX2",9.12330935557327
"46","SLC16A3",6.14787868711476
"47","SLC16A3",8.09374682677583
"48","CXCL8",8.8352418800711
"49","OAS1",6.96229656193294
"50","CDC20",5.08200172248912
"51","ANPEP",8.75338878335119
"52","HK2",7.47431375910131
"53","FHL2",9.73905760516834
"54","LOXL2",7.55105295338737
"55","SLPI",9.36516215160766
"56","ANXA8L1",6.79695235754585
"57","THBS2",10.4045194230428
"58","GPRC5A",8.77722264077161
"59","GATM",11.1469117019519
"60","S100A4",11.201619023273
"61","CDK1",6.95970539436308
"62","CDH3",6.75533064944259
"63","MET",9.87390271048145
"64","PTTG1",7.1721939887381
"65","AOC1",6.54378545590495
"66","PI3",5.97782265888251
"67","LAMA3",7.73105214631905
"68","CEACAM6",10.781780537137
"69","IGF2BP3",5.41524243452351
"70","IGF2BP3",5.52553223970879
"71","TSPAN8",12.3187031624947
"72","MMP11",6.62558865634432
"73","MMP11",8.02390089242938
"74","DMD",7.59911212919588
"75","WFDC2",7.49486830588551
"76","HEPH",7.42817896380495
"77","SLC4A4",10.1816068951801
"78","GSTA1",8.19800548594932
"79","CKS2",7.35730651096496
"80","MMP7",11.3788752434608
