Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GAD_DISEASE	Chorioamnionitis|Fetal Membranes, Premature Rupture|Infection of amniotic sac and membranes	19	0.041400649336500124	9.85842927609677E-8	IL1RN, CXCL8, MMP7, MMP1, IL1R2, PLAUR, FN1, F5, MMP12, COL1A1, MMP11, GJB2, VCAN, COL1A2, COL5A1, PLAU, COL5A2, PPARG, CD55	279	186	12971	4.7490846726018425	1.9744485326889105E-4	7.149833037133242E-5	7.106998291029598E-5
GAD_DISEASE	ovarian cancer	27	0.058832501688710695	1.05520881001602E-7	IL1RN, CXCL8, IFI6, CXCL3, CDC20, MUC1, CCNB1, PTTG1, PLAU, WNT2, NQO1, MMP7, SERPINB2, RSAD2, MMP1, EGF, IGFBP3, MX1, PLAUR, FN1, ISG15, INHBA, KLK10, DKK1, GJB2, OAS1, LCN2	279	370	12971	3.3925893635571054	2.113360012608867E-4	7.149833037133242E-5	7.106998291029598E-5
GAD_DISEASE	Chorioamnionitis|Fetal Membranes, Premature Rupture|Infection of amniotic sac and membranes|Obstetric Labor, Premature|Pre-Eclampsia|Premature Birth	19	0.041400649336500124	1.0708686525910997E-7	IL1RN, CXCL8, MMP7, MMP1, IL1R2, PLAUR, FN1, F5, MMP12, COL1A1, MMP11, GJB2, VCAN, COL1A2, COL5A1, PLAU, COL5A2, PPARG, CD55	279	187	12971	4.723688497882047	2.1447200020052737E-4	7.149833037133242E-5	7.106998291029598E-5
GAD_DISEASE	Intervertebral Disk Displacement	9	0.0196108338962369	2.0704438621812507E-7	COL1A1, IL1RN, COL1A2, COL5A1, COL11A1, IL1R2, COL5A2, COL10A1, THBS2	279	31	12971	13.497398543184183	4.146239681880326E-4	1.0367747639872614E-4	1.0305634324007175E-4
GAD_DISEASE	lung function	7	0.015252870808184254	2.32595269756682E-5	MMP12, NQO1, IL1RN, CXCL8, MMP1, GSTA1, GC	279	28	12971	11.622759856630825	0.04552074921229743	0.009317766506452682	0.009261943641711077
GAD_DISEASE	Breast Cancer	29	0.06319046477676335	8.631331259492759E-5	TOP2A, IL1RN, CXCL8, ADH1B, SLC2A1, FUT3, CDC20, CCNB1, PTTG1, DMBT1, NEK2, GC, NQO1, POSTN, MMP7, MMP1, EGF, ITGA2, IGFBP3, F5, MMP12, COL1A1, ASPM, TPX2, SST, GSTA1, CDK1, PPARG, DNASE1	279	598	12971	2.2545821795471164	0.15877240109280433	0.028814260854606658	0.028641634229416804
GAD_DISEASE	Premature Birth	10	0.021789815440263222	2.4931603478678545E-4	COL1A1, IL1RN, CXCL8, COL1A2, COL5A1, ADH1B, IL1R2, COL5A2, PLAUR, F5	279	98	12971	4.743983614951357	0.3931309715072919	0.07019799526930823	0.06977743813339625
GAD_DISEASE	Type 2 Diabetes| edema | rosiglitazone	71	0.15470768962586887	2.803714239413209E-4	IL1RN, CXCL8, ITGB4, SLC4A4, COMP, LGALS2, ACADL, PLAU, OLR1, ITGB6, SLC16A3, PDIA2, POSTN, LEFTY1, GPX2, SERPINB2, MMP1, IGFBP3, IL1R2, ITGA2, SLC6A14, PLAUR, CEL, F5, MMP12, ANO1, MMP11, NR5A2, COL8A1, IAPP, PPARG, DNASE1, MGLL, BCL2A1, KLK1, ADH1B, COL11A1, NTM, FGL1, MST1R, THBS2, TRHDE, ARNTL2, FUT3, HCAR2, C6, IGF2BP3, DMD, GC, WNT2, UGT1A8, DUOX2, NQO1, EGF, CCL20, BIK, ZBTB16, F11, FN1, ISG15, PTK6, PDZK1IP1, COL1A1, COL1A2, COL5A1, TCN1, COL5A2, BHLHE40, NFE2L3, NOX4, FXYD5	279	2198	12971	1.5017578704654932	0.4297398979902365	0.07019799526930823	0.06977743813339625
GAD_DISEASE	normal variation	17	0.037042686248447476	3.726638760519711E-4	NQO1, IL1RN, GPX2, MMP7, MMP1, ADH1B, ITGA2, CYP2C18, F5, COL1A1, COL1A2, ACADL, PLAU, GSTA1, DMD, PPARG, ULBP2	279	281	12971	2.8126251610352173	0.5260174939230662	0.0777901258773051	0.07732408418458037
GAD_DISEASE	Connective Tissue Diseases|Fetal Diseases|Inflammation|Musculoskeletal Diseases|Pregnancy Complications, Hematologic|Premature Birth|Skin Diseases	11	0.023968796984289543	4.2720488499768157E-4	COL1A1, IL1RN, CXCL8, COL1A2, COL5A1, MMP1, ADH1B, IL1R2, IGFBP3, COL5A2, F5	279	128	12971	3.9953237007168454	0.5750884351826149	0.0777901258773051	0.07732408418458037
GAD_DISEASE	Inflammation|Premature Birth	11	0.023968796984289543	4.2720488499768157E-4	COL1A1, IL1RN, CXCL8, COL1A2, COL5A1, MMP1, ADH1B, IL1R2, IGFBP3, COL5A2, F5	279	128	12971	3.9953237007168454	0.5750884351826149	0.0777901258773051	0.07732408418458037
GAD_DISEASE	lung cancer 	24	0.05229555705663173	7.415262366495849E-4	NQO1, IL1RN, GPX2, CXCL8, MMP7, SERPINB2, S100A2, MMP1, EGF, PCDH7, IGFBP3, MX1, PLAUR, SLC2A1, KRT23, MUC5AC, MMP12, PLAU, GSTA1, CDK1, TFF1, PPARG, GC, MET	279	516	12971	2.1623739268150373	0.773685127980855	0.12377308766742653	0.12303156143077695
GAD_DISEASE	Osteoporosis	12	0.026147778528315863	9.941180876240235E-4	COL1A1, IL1RN, EGLN3, COL1A2, NR5A2, AKAP7, ISG15, DMD, PPARG, HS3ST1, RUNX2, F5	279	168	12971	3.32078853046595	0.8636061931778272	0.15317065611622452	0.15225300865072544
GAD_DISEASE	Dermatitis, Atopic|	6	0.013073889264157932	0.0012270118699515805	S100A2, S100A6, S100A4, S100A14, SPRR1A, SPRR1B	279	38	12971	7.340690435766837	0.9144978559308032	0.1694261375847738	0.16841110331067627
