Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0004222~metalloendopeptidase activity	12	0.026147778528315863	6.94937291659638E-6	MMP12, MMP11, ADAMTS2, ADAM28, MMP7, FAP, MMP1, ADAM12, MMP28, ADAM9, ADAMTS12, KLK7	309	113	16881	5.801529341008677	0.0038910220321910494	0.003898598206210569	0.003843003222877798
GOTERM_MF_DIRECT	GO:0005201~extracellular matrix structural constituent	9	0.0196108338962369	2.8723594768760348E-5	COL1A1, COMP, VCAN, COL1A2, COL5A1, COL11A1, COL5A2, MUC5B, MUC5AC	309	67	16881	7.338501666425155	0.015985029472418866	0.007133427973511572	0.007031703510431193
GOTERM_MF_DIRECT	GO:0008201~heparin binding	13	0.028326760072342187	3.8146673655142097E-5	POSTN, AOC1, MMP7, REG4, F11, FN1, LAMC2, CEL, THBS2, COMP, CXCL10, COL5A1, LIPH	309	160	16881	4.43877427184466	0.021173322141063378	0.007133427973511572	0.007031703510431193
GOTERM_MF_DIRECT	GO:0005509~calcium ion binding	30	0.06536944632078967	5.3801948684044315E-5	PNLIPRP1, PNLIPRP2, ANXA8L1, GUCA1C, THBS2, COMP, CAPN8, CDH3, S100A16, MMP28, S100A14, S100A11, DUOX2, AOC1, S100A2, MMP1, EGF, REG4, PCDH7, ANXA10, SULF1, DLK1, MMP12, MMP11, VCAN, CDH11, S100A6, RGN, S100A4, S100P	309	717	16881	2.285818743144981	0.029732725958650952	0.007545723302937215	0.007438119405569127
GOTERM_MF_DIRECT	GO:0042803~protein homodimerization activity	29	0.06319046477676335	1.779945024428587E-4	TOP2A, BCL2A1, ABAT, S100A16, KYNU, AGR2, MUC13, CTSE, ECT2, XDH, UGT1A8, S100A11, TFAP2A, AOC1, SMAGP, HOMER2, ZBTB16, CBSL, MTUS2, SDCBP2, CEACAM1, FAP, CEACAM5, ID1, BHLHE40, S100A6, LCN2, KCNK3, MGLL	309	730	16881	2.1702753025668304	0.09503933809762144	0.019970983174088748	0.01968619197018017
GOTERM_MF_DIRECT	GO:0004252~serine-type endopeptidase activity	15	0.032684723160394835	2.580412523516951E-4	MMP7, KLK1, MMP1, TMPRSS3, TMPRSS4, F11, KLK10, KLK7, F5, KLK6, MMP12, MMP11, CTRL, FAP, PLAU	309	255	16881	3.2135922330097086	0.1347872278691512	0.024126857094883488	0.023782802091747896
GOTERM_MF_DIRECT	GO:0005198~structural molecule activity	14	0.030505741616368508	6.337017152882634E-4	SPRR3, LAMB3, LAMA3, KRT23, KRT7, KRT19, CLDN4, KRT17, KRT16, CLDN23, CLDN18, SPRR1A, SPRR1B, KRT6A	309	247	16881	3.096497779175347	0.2992606958446177	0.05078666603953082	0.050062435507772805
GOTERM_MF_DIRECT	GO:0003779~actin binding	14	0.030505741616368508	0.0018536589444961386	HOMER2, CAPG, MYRIP, ANLN, CEACAM1, MLPH, EPS8L1, S100A4, DMD, FXYD5, VILL, DNASE1, GC, MISP	309	278	16881	2.7512048613536355	0.6468518681187752	0.1211256808134592	0.11939839837761665
GOTERM_MF_DIRECT	GO:0001730~2'-5'-oligoadenylate synthetase activity	3	0.006536944632078966	0.0019431927403228749	OAS1, OAS2, OASL	309	4	16881	40.97330097087378	0.6641839263947021	0.1211256808134592	0.11939839837761665
GOTERM_MF_DIRECT	GO:0005507~copper ion binding	6	0.013073889264157932	0.0034947756289159925	AOC1, HEPH, ALB, CP, LOXL2, F5	309	56	16881	5.853328710124826	0.8597043090107198	0.18490882878707307	0.18227198274376366
