Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0004806~triglyceride lipase activity	3	4.10958904109589	0.0019127672857968542	PNLIPRP1, PNLIPRP2, CEL	66	17	16881	45.13636363636364	0.31025422994323815	0.3053089470045687	0.3053089470045687
GOTERM_MF_DIRECT	GO:0003756~protein disulfide isomerase activity	3	4.10958904109589	0.0032088542236555252	PDIA2, ERO1B, ERP27	66	22	16881	34.87809917355372	0.46394507196608914	0.3053089470045687	0.3053089470045687
GOTERM_MF_DIRECT	GO:0008270~zinc ion binding	12	16.43835616438356	0.0047212723763593095	CPA2, NR5A2, ADH1B, ANPEP, LMO3, P2RX1, MT1M, RGN, DPEP1, DMD, MYRIP, TRHDE	66	1169	16881	2.6255540866319307	0.6007213922435046	0.3053089470045687	0.3053089470045687
GOTERM_MF_DIRECT	GO:0030170~pyridoxal phosphate binding	3	4.10958904109589	0.020336766946520684	ALB, CBSL, ABAT	66	57	16881	13.461722488038278	0.9814261905864479	0.839189288436258	0.839189288436258
GOTERM_MF_DIRECT	GO:0003779~actin binding	5	6.8493150684931505	0.022242337134886953	HOMER2, DMD, MYRIP, DNASE1, GC	66	278	16881	4.600228907782864	0.9872691240373277	0.839189288436258	0.839189288436258
GOTERM_MF_DIRECT	GO:0072341~modified amino acid binding	2	2.73972602739726	0.026648700974435915	CBSL, DPEP1	66	7	16881	73.07792207792208	0.9946996458670885	0.839189288436258	0.839189288436258
GOTERM_MF_DIRECT	GO:0016298~lipase activity	2	2.73972602739726	0.03413333362336217	PNLIPRP1, CEL	66	9	16881	56.838383838383834	0.9988144153841563	0.839189288436258	0.839189288436258
GOTERM_MF_DIRECT	GO:0047372~acylglycerol lipase activity	2	2.73972602739726	0.03785437044864693	PNLIPRP2, CEL	66	10	16881	51.154545454545456	0.9994393169551151	0.839189288436258	0.839189288436258
GOTERM_MF_DIRECT	GO:0008237~metallopeptidase activity	3	4.10958904109589	0.038931461834671756	ANPEP, DPEP1, TRHDE	66	81	16881	9.473063973063974	0.9995488240977148	0.839189288436258	0.839189288436258
GOTERM_MF_DIRECT	GO:0015250~water channel activity	2	2.73972602739726	0.059885999460530887	AQP12B, AQP8	66	16	16881	31.97159090909091	0.9999937335589304	1.0	1.0
GOTERM_MF_DIRECT	GO:0051018~protein kinase A binding	2	2.73972602739726	0.07071477956450707	AKAP7, MYRIP	66	19	16881	26.923444976076556	0.9999993379179148	1.0	1.0
GOTERM_MF_DIRECT	GO:0017022~myosin binding	2	2.73972602739726	0.08142072465087348	DMD, MYRIP	66	22	16881	23.25206611570248	0.9999999300756074	1.0	1.0
GOTERM_MF_DIRECT	GO:0042813~Wnt-activated receptor activity	2	2.73972602739726	0.08142072465087348	EGF, SFRP5	66	22	16881	23.25206611570248	0.9999999300756074	1.0	1.0
GOTERM_MF_DIRECT	GO:0070006~metalloaminopeptidase activity	2	2.73972602739726	0.08496231388455742	ANPEP, TRHDE	66	23	16881	22.24110671936759	0.9999999669506965	1.0	1.0
GOTERM_MF_DIRECT	GO:0004177~aminopeptidase activity	2	2.73972602739726	0.09899471889212401	ANPEP, TRHDE	66	27	16881	18.946127946127948	0.9999999983514456	1.0	1.0
