Pathway,Total,Expected,Hits,P.Value,FDR
Regulation of cell cycle,886,57.3,227,1.75e-80,1.43e-77
Mitotic cell cycle,968,62.6,237,5.53e-80,2.27e-77
Regulation of molecular function,2250,145,372,5.78e-78,1.58e-75
Regulation of cellular protein metabolic process,1560,101,301,8.74e-77,1.79e-74
Regulation of protein metabolic process,1820,118,328,2.74e-76,4.5e-74
Regulation of protein modification process,1250,80.7,264,5.96e-75,8.15e-73
Interphase of mitotic cell cycle,435,28.1,150,4.98e-71,5.83e-69
Interphase,443,28.6,151,1.02e-70,1.05e-68
Regulation of catalytic activity,1730,112,308,1.32e-69,1.21e-67
Cell cycle,1860,120,319,1.75e-68,1.43e-66
Cell cycle phase,1070,69.4,233,1.68e-67,1.25e-65
Cell cycle process,1420,91.5,270,1.69e-66,1.16e-64
Positive regulation of metabolic process,2690,174,380,1.05e-59,6.61e-58
Positive regulation of cellular metabolic process,2530,163,363,2.52e-58,1.48e-56
Negative regulation of cell cycle,520,33.6,143,1.85e-53,1.01e-51
Positive regulation of cellular protein metabolic process,968,62.6,200,2e-53,1.03e-51
Cell cycle arrest,428,27.7,129,4.23e-53,2.04e-51
Negative regulation of protein metabolic process,540,34.9,145,8.46e-53,3.85e-51
Positive regulation of protein metabolic process,1080,70,212,1.02e-52,4.4e-51
Cell cycle checkpoint,281,18.2,104,2.61e-52,1.07e-50
Regulation of mitotic cell cycle,351,22.7,115,1.85e-51,7.23e-50
G1/S transition of mitotic cell cycle,209,13.5,89,7.84e-51,2.92e-49
Positive regulation of protein modification process,867,56.1,184,1.1e-50,3.92e-49
Negative regulation of cellular protein metabolic process,463,29.9,131,2.05e-50,7.02e-49
Regulation of phosphorylation,1070,69,206,4.48e-50,1.47e-48
Positive regulation of catalytic activity,1070,69.1,204,1.05e-48,3.32e-47
Regulation of protein phosphorylation,987,63.8,194,3.54e-48,1.07e-46
Mitotic cell cycle checkpoint,149,9.64,72,6.37e-46,1.87e-44
Protein phosphorylation,1480,96,242,1.34e-45,3.78e-44
Negative regulation of cellular process,4110,266,460,2.37e-44,6.49e-43
Cell division,507,32.8,128,2.88e-43,7.63e-42
Phosphorylation,1680,109,256,4.03e-43,1.03e-41
Regulation of cellular component organization,1520,98.6,241,4.98e-43,1.24e-41
Positive regulation of cellular process,4780,309,505,8.94e-43,2.16e-41
Regulation of transferase activity,768,49.7,160,1.19e-42,2.79e-41
Negative regulation of catalytic activity,568,36.7,135,1.78e-42,4.03e-41
Negative regulation of biological process,4590,297,491,1.82e-42,4.03e-41
Response to organic substance,2500,162,327,6.75e-42,1.46e-40
Enzyme linked receptor protein signaling pathway,1180,76,203,1.79e-41,3.76e-40
Regulation of kinase activity,743,48,155,2.44e-41,5e-40
Regulation of protein kinase activity,698,45.1,149,6.1e-41,1.22e-39
Wound healing,700,45.3,149,8.77e-41,1.71e-39
Protein modification process,3290,213,389,1.13e-40,2.16e-39
Cell morphogenesis involved in differentiation,827,53.5,163,3.21e-40,5.95e-39
Cell proliferation,1900,123,271,3.26e-40,5.95e-39
Protein catabolic process,644,41.6,141,5.29e-40,9.44e-39
Regulation of signal transduction,2440,157,316,2.06e-39,3.59e-38
Anatomical structure formation involved in morphogenesis,2090,135,286,2.21e-39,3.78e-38
Regulation of programmed cell death,1550,100,236,4.8e-39,8.03e-38
Negative regulation of metabolic process,1820,118,261,5.68e-39,9.31e-38
Negative regulation of cellular metabolic process,1660,108,246,8.48e-39,1.36e-37
Regulation of apoptotic process,1540,99.3,233,2.08e-38,3.28e-37
Anatomical structure morphogenesis,2820,182,344,7.68e-38,1.19e-36
Cell development,1840,119,260,1.48e-37,2.24e-36
Response to chemical stimulus,3830,248,422,3.01e-37,4.49e-36
Coagulation,568,36.7,127,6e-37,8.79e-36
Macromolecule modification,3430,222,390,1.09e-36,1.57e-35
Regulation of developmental process,1880,121,261,1.35e-36,1.9e-35
Programmed cell death,2160,139,285,2.5e-36,3.48e-35
Hemostasis,570,36.9,126,4.1e-36,5.61e-35
Blood coagulation,564,36.5,125,6.05e-36,8.13e-35
Apoptotic process,2130,138,281,1.32e-35,1.72e-34
Apoptotic process,2130,138,281,1.32e-35,1.72e-34
Intracellular signal transduction,2450,158,308,1.73e-35,2.22e-34
S phase,153,9.89,63,4.17e-35,5.27e-34
S phase of mitotic cell cycle,144,9.31,61,7.06e-35,8.77e-34
Transmembrane receptor protein tyrosine kinase signaling pathway,782,50.6,149,7.31e-35,8.95e-34
Positive regulation of transcription from RNA polymerase II promoter,800,51.7,151,7.49e-35,9.03e-34
