Pathway,Total,Expected,Hits,P.Value,FDR
Enzyme binding,1200,73.7,215,1.06e-50,4.11e-48
"Positive regulation of transcription, DNA_dependent",1260,77.3,197,4.4e-37,8.54e-35
Kinase binding,418,25.7,100,1.71e-33,2.22e-31
Protein kinase binding,376,23.1,93,2.18e-32,2.11e-30
Transcription from RNA polymerase II promoter,1930,119,241,1.15e-29,8.9e-28
Protein domain specific binding,560,34.4,108,1.75e-27,1.13e-25
Transcription factor binding,509,31.3,102,2.32e-27,1.28e-25
Purine ribonucleotide binding,1890,116,231,8.8e-27,4.27e-25
Purine nucleotide binding,1900,117,231,1.39e-26,6e-25
ATP binding,1490,91.5,188,3.61e-23,1.4e-21
Adenyl ribonucleotide binding,1530,93.8,190,1.14e-22,4.01e-21
Adenyl nucleotide binding,1530,94,190,1.55e-22,5.02e-21
Protein complex binding,339,20.8,70,9.4e-20,2.81e-18
"Negative regulation of transcription, DNA_dependent",987,60.7,135,1.85e-19,5.12e-18
Receptor binding,1590,98,185,1.25e-18,3.24e-17
Nucleotide binding,2470,152,249,3.36e-17,8.15e-16
Protein binding transcription factor activity,600,36.9,93,5.38e-17,1.23e-15
Hormone receptor binding,176,10.8,42,1.33e-14,2.87e-13
Transcription cofactor activity,552,33.9,83,1.72e-14,3.51e-13
Identical protein binding,910,55.9,111,1.27e-12,2.47e-11
Nuclear hormone receptor binding,153,9.4,36,1.65e-12,3.04e-11
Protein kinase activity,960,59,114,3.59e-12,6.34e-11
Steroid hormone receptor binding,69,4.24,23,8.31e-12,1.4e-10
Integrin binding,86,5.29,25,3.13e-11,5.06e-10
Protein tyrosine kinase activity,222,13.6,42,4.88e-11,7.58e-10
Transmembrane receptor protein tyrosine kinase activity,88,5.41,25,5.46e-11,8.14e-10
Receptor signaling protein activity,110,6.76,28,6.83e-11,9.82e-10
Collagen binding,47,2.89,18,1.11e-10,1.53e-09
Transcription coactivator activity,312,19.2,51,1.16e-10,1.55e-09
Protein dimerization activity,996,61.2,112,1.72e-10,2.23e-09
Chromatin binding,338,20.8,53,2.41e-10,3.02e-09
"Phosphotransferase activity, alcohol group as acceptor",1110,68,118,1.36e-09,1.65e-08
Protein serine/threonine kinase activity,572,35.2,73,1.71e-09,2.01e-08
Histone deacetylase binding,65,3.99,19,6.62e-09,7.55e-08
Transmembrane receptor protein kinase activity,125,7.68,27,7.45e-09,8.26e-08
Kinase regulator activity,144,8.85,29,1.13e-08,1.22e-07
Kinase activity,1190,73,121,1.31e-08,1.38e-07
Steroid hormone receptor activity,56,3.44,17,2.2e-08,2.25e-07
Phosphatase binding,116,7.13,25,2.8e-08,2.79e-07
Ion binding,6140,378,455,4.34e-08,4.21e-07
