Id,Label,Degree,Betweenness,Expression
983,CDK1,191,170861.12,6.959705394
891,CCNB1,91,42477.27,6.053121858
991,CDC20,66,30778.32,5.082001722
5468,PPARG,48,43020.9,6.847208737
4233,MET,47,76573.47,9.87390271
9636,ISG15,37,31351.4,8.868295764
51176,LEF1,36,52887.37,6.816676486
2810,SFN,34,28856.95,8.26969789533333
1756,DMD,32,37877.67,7.599112129
2335,FN1,30,36750.92,12.6145753625
860,RUNX2,30,26338.94,7.374276634
7316,UBC,28,156179.54,0
7153,TOP2A,24,18346.88,6.7460547345
1894,ECT2,23,16342.09,7.292279668
7472,WNT2,22,13771.1,5.986907228
1946,EFNA5,21,17659.7,6.051219432
5063,PAK3,21,13299.87,6.421785953
5315,PKM,19,18001.57,7.056815242
3691,ITGB4,19,13302.77,8.311014731
4751,NEK2,18,6451.9,5.226264791
213,ALB,17,31437.05,6.3557966915
7704,ZBTB16,17,9338.24,8.062498969
2274,FHL2,16,12267.51,9.739057605
6425,SFRP5,16,8222.1,5.40186816
5329,PLAUR,15,16083.45,8.150906432
3486,IGFBP3,14,16494.53,9.6182397895
22943,DKK1,14,12831.21,5.952447109
4486,MST1R,13,6953.55,6.072784747
8638,OASL,13,2038.3,4.836162382
4939,OAS2,13,2038.3,5.881523945
4938,OAS1,13,2038.3,7.062864449
6400,SEL1L,12,10241,5.06015058
3694,ITGB6,12,4957.12,7.271559169
9232,PTTG1,12,3846.57,7.172193989
112399,EGLN3,11,18996.3,5.701148336
4312,MMP1,11,18625.16,8.502282879
688,KLF5,10,8063.91,8.555431995
23621,BACE1,10,7258.15,7.3311203545
4084,MXD1,10,6367.88,7.467161172
4316,MMP7,10,6015.56,11.37887524
7157,TP53,9,13948.47,0
5328,PLAU,9,8443.65,8.15022067
1277,COL1A1,9,5500.39,11.103487004
1278,COL1A2,9,4027.13,11.849214915
1164,CKS2,9,901.32,7.357306511
30001,ERO1A,8,11342.05,8.913823475
6382,SDC1,8,7035.64,7.9848241615
8553,BHLHE40,8,6714.52,6.881438301
1950,EGF,8,5693.29,5.163050852
4599,MX1,8,3822.5,8.312146026
1499,CTNNB1,7,22621.91,0
3320,HSP90AA1,7,13162.35,0
6275,S100A4,7,7457,11.20161902
3576,CXCL8,7,6721.41,8.216001259
2494,NR5A2,7,3936.59,5.9571883005
6241,RRM2,7,3741.57,6.543362181
5801,PTPRR,7,3228.15,4.658978148
3914,LAMB3,7,2905.81,7.800240437
2033,EP300,6,15623.85,0
1462,VCAN,6,4670,10.4514355814
3673,ITGA2,6,4243.76,8.410563717
729,C6,6,2806.5,6.896534729
6790,AURKA,6,1901.86,0
6714,SRC,5,32292.68,0
3688,ITGB1,5,17450.08,0
3065,HDAC1,5,14989.27,0
1956,EGFR,5,10112.98,0
8038,ADAM12,5,9797.39,6.817787546
638,BIK,5,7450,6.871190135
5034,P4HB,5,3761.93,0
597,BCL2A1,5,3738,7.409613453
6004,RGS16,5,3738,6.038799291
2153,F5,5,3738,6.731733861
140576,S100A16,5,3738,9.939685887
5214,PFKP,5,3738,8.61837098
3909,LAMA3,5,3506.77,7.731052146
1958,EGR1,5,1954.5,0
3326,HSP90AB1,5,157.06,0
9320,TRIP12,5,157.06,0
9133,CCNB2,5,152.25,0
996,CDC27,5,31.86,0
89780,WNT3A,4,22092.04,0
5879,RAC1,4,7676.78,0
5595,MAPK3,4,7433.75,0
7324,UBE2E1,4,7193.66,0
5347,PLK1,4,6608.04,0
2147,F2,4,5591.7,0
1001,CDH3,4,3776.64,6.755330649
5578,PRKCA,4,3538.28,0
5925,RB1,4,3440.41,0
1024,CDK8,4,3102.39,0
207,AKT1,4,2758.25,0
2885,GRB2,4,2679.75,0
2308,FOXO1,4,2558.76,0
7341,SUMO1,4,2290.08,0
2160,F11,4,2227.64,5.414931459
6774,STAT3,4,2145.28,0
5753,PTK6,4,1917.77,6.653554914
960,CD44,4,1476.24,0
7058,THBS2,4,1183.03,10.40451942
7031,TFF1,4,1136.09,10.28394223
3678,ITGA5,4,1131.83,0
10537,UBD,4,1059.32,9.313268987
1308,COL17A1,4,1044.6,4.650755176
4318,MMP9,4,1010.22,0
5371,PML,4,931.25,0
3918,LAMC2,4,861.83,7.215069813
56605,ERO1B,4,106.01,7.226838034
4600,MX2,4,84.5,0
3434,IFIT1,4,84.5,0
3433,IFIT2,4,84.5,0
3437,IFIT3,4,84.5,0
6041,RNASEL,4,84.5,0
8881,CDC16,4,17.75,0
51343,FZR1,4,10.26,0
8900,CCNA1,4,3.5,0
1017,CDK2,4,3.5,0
890,CCNA2,4,3.5,0
3082,HGF,3,12581.47,0
7534,YWHAZ,3,6273.28,0
6383,SDC2,3,5534.54,0
5300,PIN1,3,5130.9,0
351,APP,3,5084.35,0
8841,HDAC3,3,4592.52,0
4851,NOTCH1,3,3735,0
23411,SIRT1,3,3412.16,0
5339,PLEC,3,3261.73,0
7533,YWHAH,3,2910.55,0
5599,MAPK8,3,2762.19,0
1294,COL7A1,3,2632,0
5829,PXN,3,2594.75,0
1020,CDK5,3,2479.48,0
367,AR,3,2288.08,0
998,CDC42,3,2224.35,0
7057,THBS1,3,2217.31,0
5594,MAPK1,3,2196.95,0
2305,FOXM1,3,2184.24,0
5340,PLG,3,2152.3,0
6282,S100A11,3,1871,11.93400652
3880,KRT19,3,1871,10.52240105
26585,GREM1,3,1871,9.604677406
11317,RBPJL,3,1871,4.518985539
4313,MMP2,3,1861.81,0
3674,ITGA2B,3,1847.9,0
9611,NCOR1,3,1405.72,0
58,ACTA1,3,1322.9,0
8202,NCOA3,3,1200.31,0
4036,LRP2,3,1190.46,0
1387,CREBBP,3,1003.92,0
7529,YWHAB,3,999.96,0
3397,ID1,3,950.5,9.00262977
3577,CXCR1,3,934.5,0
3579,CXCR2,3,934.5,0
9700,ESPL1,3,537.93,0
7479,WNT8B,3,520.2,0
7478,WNT8A,3,520.2,0
8516,ITGA8,3,350.35,0
10971,YWHAQ,3,288.15,0
4087,SMAD2,3,238.36,0
3655,ITGA6,3,201.91,0
2638,GC,3,138.1,7.137686328
649,BMP1,3,34.09,0
29945,ANAPC4,3,17.75,0
51529,ANAPC11,3,10.26,0
4684,NCAM1,3,0.23,0
6672,SP100,3,0.23,0
990,CDC6,3,0,0
994,CDC25B,3,0,0
1026,CDKN1A,3,0,0
699,BUB1,3,0,0
6233,RPS27A,3,0,0
4085,MAD2L1,3,0,0
7314,UBB,3,0,0
701,BUB1B,3,0,0
64682,ANAPC1,3,0,0
9184,BUB3,3,0,0
8697,CDC23,3,0,0
8556,CDC14A,3,0,0
7321,UBE2D1,3,0,0
1163,CKS1B,3,0,0
