Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005615~extracellular space	59	21.933085501858738	8.20716528821203E-15	PTPRR, ECM1, IL1RN, CXCL8, COL12A1, LAMC2, CXCL3, MSLN, WFDC2, CXCL5, LOXL2, COMP, LGALS4, DMBT1, PLAU, LIPH, MUC13, SERPINB3, POSTN, SERPINB2, MMP7, IGFBP3, DKK1, MUC5AC, F5, GREM1, VCAN, SLPI, CEACAM6, ADAM9, TFF2, S100A4, TFF1, TACSTD2, KLK7, KLK6, CST1, MUC1, AGR2, SFN, WNT2, XDH, MUC4, S100A11, CTHRC1, AOC1, ZG16B, CCL20, FN1, SULF1, MUC5B, CP, COL1A1, CXCL10, COL1A2, FAP, TCN1, LCN2, ULBP2	257	1347	18224	3.1059538562420017	1.7745804825608502E-12	1.7727477022537986E-12	1.6742617187952542E-12
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	83	30.855018587360593	1.828218949524357E-11	ANXA8L1, ECM1, IL1RN, CLIC3, SLC44A4, MTMR11, ITGB4, COL12A1, SLC2A1, WFDC2, COMP, SULT1C2, DMBT1, PLAU, MUC13, OLR1, ITGB6, CTSE, KRT6B, KRT6A, SERPINB3, GPX2, MMP7, IGFBP3, SLC6A14, PLAUR, KRT7, TMC5, SDCBP2, MUC5AC, ANO1, CEACAM1, PKM, GPRC5A, SLPI, CEACAM5, CDH11, S100A6, COL8A1, ADAM9, TFF2, S100A4, SPRR3, LRRC15, LAMA3, TACSTD2, CAPG, AK4, FUT3, SCEL, MUC1, TSPAN8, S100A16, GCNT3, EPS8L1, SFN, PI3, S100A14, MUC4, TSPAN1, S100A11, CD55, DUOX2, NQO1, AOC1, ZG16B, FN1, PDZK1IP1, MUC5B, CP, KRT19, MLPH, COL1A2, COL5A1, KRT17, KRT16, CDK1, LCN2, SDC1, S100P, SLC26A9, SPRR1B, PFKP	257	2811	18224	2.0937644910835282	3.948945170861862E-9	1.9744764654863055E-9	1.8647833285148444E-9
GOTERM_CC_DIRECT	GO:0005576~extracellular region	58	21.561338289962826	4.6293520123294306E-11	SFTA2, ECM1, CXCL8, COL12A1, LAMC2, CXCL3, WFDC2, CXCL5, COMP, ADAMTS2, DMBT1, PLAU, LIPH, COL10A1, SERPINB2, MMP7, MMP1, IGFBP3, IL1R2, DKK1, MUC5AC, F5, MMP12, MMP11, VCAN, ADGRF1, OAS1, ADAM12, COL8A1, MET, COL17A1, CEMIP, COL11A1, LAMA3, THBS2, EFNA5, KLK7, KLK6, ADAM28, WNT2, CD55, LAMB3, CCL20, REG4, FN1, IGFL2, ISG15, INHBA, KLK10, CP, COL1A1, CXCL10, COL1A2, COL5A1, TCN1, COL5A2, NMU, LCN2	257	1610	18224	2.554539961814535	9.999401306970412E-9	3.33313344887719E-9	3.1479593683840128E-9
GOTERM_CC_DIRECT	GO:0005578~proteinaceous extracellular matrix	22	8.178438661710038	2.1704703895973274E-10	COL17A1, ECM1, POSTN, MMP7, MMP1, COL11A1, FN1, ADAMTS12, MMP12, COMP, MMP11, ADAMTS2, VCAN, COL1A2, COL5A1, COL5A2, MMP28, COL10A1, PI3, MUC4, WNT2, CTHRC1	257	268	18224	5.821011673151751	4.688216104220544E-8	1.1720540103825568E-8	1.106939898694637E-8
GOTERM_CC_DIRECT	GO:0031012~extracellular matrix	21	7.806691449814126	7.718976568341366E-9	ECM1, POSTN, MMP7, MMP1, COL12A1, FN1, ADAMTS12, THBS2, LOXL2, COL1A1, COMP, MMP11, VCAN, PKM, COL1A2, COL5A1, SLPI, COL5A2, COL8A1, WNT2, PFKP	257	296	18224	5.030812914081396	1.6672975553522207E-6	3.3345978775234704E-7	3.1493424398832774E-7
GOTERM_CC_DIRECT	GO:0005581~collagen trimer	10	3.717472118959108	5.824223306716022E-6	COL17A1, COL1A1, COL1A2, COL5A1, MMP1, COL11A1, COL12A1, COL5A2, COL10A1, CTHRC1	257	92	18224	7.707663677888682	0.0012572449023773302	2.096720390417768E-4	1.9802359242834474E-4
GOTERM_CC_DIRECT	GO:0005796~Golgi lumen	9	3.3457249070631967	6.208819411558864E-5	MMP11, VCAN, MUC1, MUC13, SDC1, MUC5B, MUC4, HS3ST1, MUC5AC	257	96	18224	6.647859922178989	0.013321933269494157	0.0019158642755667352	0.0018094273713685832
GOTERM_CC_DIRECT	GO:0005788~endoplasmic reticulum lumen	12	4.4609665427509295	8.889292628644226E-5	ERO1A, COL17A1, COL1A1, COL1A2, COL5A1, COL11A1, COL12A1, COL5A2, PLAUR, COL10A1, COL8A1, F5	257	192	18224	4.4319066147859925	0.019018546730877106	0.002400109009733941	0.0022667696203042776
GOTERM_CC_DIRECT	GO:0031982~vesicle	8	2.973977695167286	0.00222437402014785	SERPINB3, MUC1, PKM, GPRC5A, SLC6A14, KCNN4, TSPAN1, MUC4	257	128	18224	4.4319066147859925	0.38183505064307854	0.053384976483548396	0.0504191444566846
GOTERM_CC_DIRECT	GO:0016324~apical plasma membrane	12	4.4609665427509295	0.002825929233114671	ANO1, CLDN4, MUC1, CEACAM1, SLC2A1, FN1, NOX4, MUC13, SLC26A9, KCNK1, CD55, DUOX2	257	291	18224	2.9241445705804487	0.4573359360592024	0.06104007143527689	0.05764895635553928
